Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISA.JK,FKS Food Sejahtera Tbk PT,Indonesia,105.00,144.00,143.00,192.00,390.00,"9,311,800,000.00","9,311,800,000.00","9,311,800,000.00","9,311,800,000.00","9,311,800,000.00","1,964,172,000,000.00","1,850,004,000,000.00","1,826,350,000,000.00","1,761,634,000,000.00","2,011,557,000,000.00","918,034,000,000.00","881,806,000,000.00","1,048,489,000,000.00","927,877,000,000.00","1,161,688,000,000.00",5.9%,2.8%,-3.1%,0.7%,52.0%
AKKU.JK,Anugerah Kagum Karya Utama Tbk PT,Indonesia,14.00,50.00,50.00,50.00,50.00,,"6,449,463,636.00","6,449,463,636.00","6,449,463,636.00","6,449,463,636.00",,"726,399,708,693.00","730,789,751,049.00","726,551,136,516.00","936,699,355,696.00",,"292,011,350,827.00","260,707,002,887.00","134,896,853,532.00","349,297,058,284.00",-0.6%,-4.9%,-16.7%,-1.1%,-16.3%
AKPI.JK,Argha Karya Prima Industry Tbk PT,Indonesia,615.00,740.00,"1,220.00","1,130.00",555.00,"612,248,000.00","612,248,000.00","612,248,000.00","612,248,000.00","612,248,000.00","3,354,191,904,000.00","3,351,569,378,000.00","3,590,544,764,000.00","3,335,740,359,000.00","2,644,267,716,000.00","1,619,702,570,000.00","1,699,640,104,000.00","1,819,078,887,000.00","1,872,726,945,000.00","1,330,380,957,000.00",1.0%,-1.2%,8.4%,7.4%,1.5%
AKRA.JK,AKR Corporindo Tbk PT,Indonesia,"1,120.00","1,475.00","1,400.00",822.00,636.00,"19,752,819,600.00","19,737,169,600.00","19,737,169,600.00","19,737,169,600.00","19,737,169,600.00","33,108,684,368,000.00","30,254,623,117,000.00","27,187,608,036,000.00","23,508,585,736,000.00","18,683,572,815,000.00","18,484,691,894,000.00","16,211,665,604,000.00","14,032,797,261,000.00","12,209,620,623,000.00","8,127,216,543,000.00",9.0%,12.8%,12.2%,6.8%,6.1%
AKSI.JK,MINERAL SUMBERDAYA MANDIRI TBK PT,Indonesia,242.00,141.00,290.00,885.00,414.00,"720,000,000.00","720,000,000.00","720,000,000.00","720,000,000.00","720,000,000.00","297,940,163,168.00","321,354,170,526.00","366,151,031,018.00","275,990,708,661.00","298,261,244,290.00","129,111,584,007.00","132,883,054,676.00","188,462,418,370.00","145,261,996,537.00","191,770,130,645.00",-5.8%,6.2%,20.1%,11.6%,2.2%
ALDO.JK,Alkindo Naratama Tbk PT,Indonesia,645.00,465.00,402.50,500.00,273.37,"2,700,713,744.00","2,700,713,744.00","2,594,810,018.00","2,602,272,240.00","2,274,533,569.64","2,046,681,278,169.00","1,751,702,567,743.00","1,568,806,950,187.00","1,210,809,442,028.00","953,551,967,212.00","1,019,907,046,039.00","941,764,934,889.00","803,638,004,050.00","507,406,880,546.00","363,428,319,392.00",-0.5%,0.2%,6.1%,12.0%,8.9%
ALKA.JK,Alakasa Industrindo Tbk PT,Indonesia,362.00,486.00,266.00,256.00,262.00,"507,665,055.00","507,665,055.00","507,665,055.00","507,665,055.00","507,665,055.00","224,245,664,000.00","339,743,773,000.00","638,952,801,000.00","499,393,053,000.00","418,630,902,000.00","12,332,295,000.00","131,385,685,000.00","455,181,958,000.00","370,570,531,000.00","313,427,196,000.00",-1.1%,8.8%,8.5%,3.8%,1.6%
ALMI.JK,Alumindo Light Metal Industry Tbk PT,Indonesia,74.00,192.00,272.00,300.00,248.00,"3,816,000,000.00","3,816,000,000.00","3,816,000,000.00","3,816,000,000.00","616,000,000.00","447,893,017,880.00","881,934,073,170.00","1,145,293,868,400.00","1,336,789,992,000.00","1,420,133,658,840.00","322,214,188,780.00","529,800,835,875.00","622,949,558,770.00","813,486,102,000.00","1,688,057,111,520.00",-25.3%,-16.7%,-4.2%,-4.5%,-16.4%
ALTO.JK,Tri Banyan Tirta Tbk PT,Indonesia,16.00,50.00,50.00,280.00,308.00,"2,191,870,558.00","2,191,870,558.00","2,191,870,558.00","2,191,870,558.00","2,191,870,558.00","983,288,148,159.00","1,023,323,308,935.00","1,089,208,965,375.00","1,105,874,415,256.00","1,103,450,087,164.00","659,522,257,663.00","674,407,148,602.00","725,373,304,291.00","732,991,334,916.00","722,719,563,550.00",-2.3%,-0.6%,-0.7%,-0.8%,-1.0%
AMAG.JK,Asuransi Multi Artha Guna Tbk PT,Indonesia,330.00,290.00,360.00,336.00,226.00,"4,951,821,816.00","4,959,589,116.00","4,986,089,116.00","4,987,633,916.00","5,001,552,516.00","5,366,438,278,000.00","5,027,264,004,000.00","4,717,862,245,000.00","4,652,817,906,000.00","4,737,130,041,000.00","3,548,732,475,000.00","3,321,607,256,000.00","3,017,525,352,000.00","2,793,055,857,000.00","2,730,755,387,000.00",4.8%,3.2%,4.1%,3.4%,2.6%
