Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRRA.JK,Itama Ranoraya PT,Indonesia,400.00,800.00,"1,080.00","1,975.00","1,600.00","1,507,817,400.00","1,507,817,400.00","1,562,401,400.00","1,582,959,500.00","1,500,000,000.00","1,658,962,798,833.00","1,058,886,244,280.00","733,925,273,647.00","782,043,517,312.00","535,270,961,113.00","1,146,649,835,245.00","599,685,030,024.00","249,881,948,061.00","279,991,770,196.00","292,939,240,650.00",5.2%,0.9%,8.2%,22.0%,18.0%
IRSX.JK,Aviana Sinar Abadi PT Tbk,Indonesia,31.00,50.00,,,,"5,000,353,976.00","5,000,343,221.00","5,000,000,000.00","5,000,000,000.00","5,000,000,000.00","167,400,063,957.00","168,000,608,754.00","74,548,932,976.00","6,270,226,008.00","5,507,266,248.00","3,818,178,582.00","3,954,796,887.00","6,377,001,739.00","990,302,433.00","827,197,293.00",-0.3%,-2.2%,11.4%,10.8%,4.2%
ISAP.JK,Isra Presisi Indonesia PT Tbk,Indonesia,10.00,10.00,99.00,,,"4,020,088,631.00","4,020,000,000.00","4,020,000,000.00","4,020,000,000.00","4,020,000,000.00","177,756,677,294.00","178,152,067,971.00","196,020,966,862.00","28,792,833,714.00","28,047,464,456.00","6,686,084,692.00","8,520,836,047.00","28,350,728,689.00","22,611,117,168.00","21,844,024,242.00",1.1%,1.4%,1.5%,0.6%,
ISAT.JK,Indosat Tbk PT,Indonesia,"2,480.00","2,343.75","1,543.75","1,550.00","1,262.50","32,250,810,957.00","32,250,727,360.00","32,250,727,360.00","21,735,734,000.00","21,735,734,000.00","114,386,698,000,000.00","114,722,249,000,000.00","113,657,346,000,000.00","63,397,148,000,000.00","62,778,740,000,000.00","77,734,901,000,000.00","81,013,457,000,000.00","82,288,756,000,000.00","53,094,346,000,000.00","49,865,344,000,000.00",5.9%,5.3%,7.4%,11.8%,-1.1%
ISEA.JK,PT Indo American Seafoods Tbk,Indonesia,71.00,,,,,"1,390,000,000.00","1,390,000,000.00","1,390,000,000.00","1,390,000,000.00",,"437,269,373,703.00","345,325,322,995.00","307,658,424,230.00","262,715,700,578.00",,"258,179,220,659.00","236,031,249,225.00","200,101,526,449.00","161,639,555,876.00",,0.6%,0.8%,2.5%,,
ISSP.JK,Steel Pipe Industry of Indonesia Tbk PT,Indonesia,268.00,292.00,246.00,398.00,160.00,"7,065,340,735.00","7,065,340,735.00","7,065,340,735.00","7,065,340,735.00","7,065,340,735.00","8,295,427,000,000.00","7,971,708,000,000.00","7,405,931,000,000.00","7,097,322,000,000.00","6,076,604,000,000.00","3,251,676,000,000.00","3,353,362,000,000.00","3,261,396,000,000.00","3,310,209,000,000.00","2,741,264,000,000.00",8.3%,8.3%,5.4%,10.0%,2.5%
ITIC.JK,Indonesian Tobacco Tbk PT,Indonesia,248.00,300.00,262.00,274.00,650.00,"940,720,000.00","940,720,000.00","940,720,000.00","940,720,000.00","940,720,000.00","637,383,120,724.00","560,353,325,935.00","553,207,312,282.00","526,704,173,504.00","505,077,168,839.00","204,086,954,705.00","162,422,114,987.00","188,886,108,964.00","202,024,664,317.00","225,250,911,830.00",4.9%,6.5%,6.0%,4.8%,2.9%
ITMA.JK,Sumber Energi Andalan Tbk PT,Indonesia,720.00,690.00,815.00,750.00,525.00,"999,053,167.00","999,053,167.00","999,053,167.00","870,701,000.00",,"4,038,314,796,640.00","3,489,983,703,795.00","3,411,536,342,005.00","2,607,374,569,500.00",,"592,113,222,840.00","232,331,933,655.00","150,290,908,240.00","152,834,100,000.00",,0.1%,-0.2%,-0.3%,,
ITMG.JK,Indo Tambangraya Megah Tbk PT,Indonesia,"26,700.00","25,650.00","39,025.00","20,400.00","13,850.00","1,129,925,000.00","1,129,925,000.00","1,129,925,000.00","1,096,555,900.00","1,096,555,900.00","38,721,292,960,000.00","33,681,904,565,000.00","41,094,355,005,000.00","23,743,905,750,000.00","16,267,151,160,000.00","7,606,290,060,000.00","6,147,331,265,000.00","10,738,246,805,000.00","6,621,690,000,000.00","4,385,239,560,000.00",21.5%,26.7%,71.7%,44.0%,6.1%
JARR.JK,Jhonlin Agro Raya PT Tbk,Indonesia,310.00,248.00,318.00,,,"9,230,665,050.00","9,230,665,050.00","8,000,000,000.00","8,000,000,000.00","8,000,000,000.00","4,105,433,051,060.00","3,652,686,220,005.00","3,489,310,229,052.00","2,407,028,987,205.00","1,100,890,257,584.00","2,404,070,189,257.00","2,211,114,704,243.00","2,215,046,114,094.00","1,656,771,000,877.00","1,084,379,356,576.00",8.6%,6.1%,6.9%,0.9%,-2.9%
JAST.JK,Jasnita Telekomindo Tbk PT,Indonesia,69.00,50.00,84.00,220.00,252.00,"1,082,575,738.00","1,082,575,602.00","1,082,257,498.00","813,626,700.00","813,626,700.00","148,544,902,511.00","141,735,206,083.00","143,920,613,918.00","100,685,269,541.00","114,094,419,514.00","61,914,291,062.00","50,328,000,214.00","54,035,161,736.00","51,938,232,419.00","58,255,094,779.00",-3.6%,1.1%,-8.1%,-9.2%,-8.4%
JATI.JK,Informasi Teknologi Indonesia Tbk PT,Indonesia,50.00,50.00,,,,"3,262,520,106.00","3,262,509,300.00","3,262,500,000.00","3,262,500,000.00","3,262,500,000.00","315,764,031,122.00","315,657,339,199.00","258,203,608,253.00","143,463,834,535.00","133,090,928,581.00","146,446,917,003.00","154,615,728,290.00","161,552,570,793.00","109,927,208,696.00","112,561,864,796.00",2.3%,1.3%,16.0%,12.7%,5.2%
JAWA.JK,Jaya Agra Wattie Tbk PT,Indonesia,110.00,180.00,105.00,270.00,98.00,"16,232,951,842.00","16,232,951,843.00","3,774,685,500.00","3,774,685,500.00","3,774,685,500.00","3,867,576,733,424.00","3,656,226,625,457.00","3,589,642,467,446.00","3,566,231,393,023.00","3,493,727,182,127.00","2,501,593,394,303.00","2,674,644,786,344.00","3,471,237,598,677.00","3,342,826,267,249.00","3,249,702,622,666.00",-5.3%,-8.3%,-7.8%,-5.4%,-9.2%
JAYA.JK,Armada Berjaya Trans Tbk PT,Indonesia,94.00,114.00,109.00,195.00,108.67,"798,499,394.00","798,499,394.00","795,628,980.00","750,000,210.00","441,701,439.36","219,994,763,741.00","166,743,809,893.00","131,564,860,762.00","121,943,097,733.00","82,202,146,171.00","96,182,015,941.00","45,109,825,056.00","14,137,330,046.00","11,730,638,222.00","15,456,969,921.00",4.9%,8.6%,4.6%,6.1%,4.9%
JECC.JK,Jembo Cable Company Tbk PT,Indonesia,610.00,486.00,988.00,"1,210.00","1,120.00","756,000,000.00","756,000,000.00","756,000,000.00","756,000,000.00","756,000,000.00","2,559,780,236,000.00","2,162,295,387,000.00","2,199,797,641,000.00","1,736,977,382,000.00","1,513,949,141,000.00","1,729,104,372,000.00","1,369,447,284,000.00","1,451,568,681,000.00","1,040,742,901,000.00","778,897,969,000.00",4.0%,4.9%,3.1%,-4.5%,1.2%
JGLE.JK,Graha Andrasentra Propertindo Tbk PT,Indonesia,6.00,50.00,50.00,50.00,50.00,"22,581,909,405.00","22,581,909,405.00","22,581,909,405.00","22,581,909,405.00","22,581,909,405.00","1,539,422,000,000.00","1,620,937,000,000.00","1,710,447,000,000.00","3,050,135,000,000.00","3,320,852,000,000.00","427,174,000,000.00","482,450,000,000.00","521,348,000,000.00","1,102,345,000,000.00","1,273,853,000,000.00",-0.5%,0.3%,-31.2%,-3.1%,-3.5%
JIHD.JK,Jakarta International Hotels & Development Tbk PT,Indonesia,"1,220.00",388.00,352.00,436.00,446.00,"2,329,040,482.00","2,329,040,482.00","2,329,040,482.00","2,329,040,482.00","2,329,040,482.00","6,609,915,341,000.00","6,529,925,187,000.00","6,578,827,672,000.00","6,609,371,028,000.00","6,719,372,766,000.00","1,793,260,340,000.00","1,803,560,862,000.00","1,852,972,316,000.00","1,836,110,280,000.00","1,840,934,731,000.00",5.8%,4.9%,3.3%,-0.4%,-0.2%
JKmad.JK,Bursa Efek Indonesia PT,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,
JKON.JK,Jaya Konstruksi Manggala Pratama Tbk PT,Indonesia,82.00,89.00,119.00,124.00,400.00,"16,308,519,860.00","16,308,519,860.00","16,308,519,860.00","16,308,519,860.00","16,308,519,860.00","4,371,497,764,000.00","4,396,310,133,000.00","4,307,485,666,000.00","4,145,213,922,000.00","4,565,315,258,000.00","1,194,860,487,000.00","1,341,697,603,000.00","1,445,453,420,000.00","1,494,665,730,000.00","1,882,247,833,000.00",5.2%,6.8%,5.9%,-0.3%,1.9%
JKSW.JK,Jakarta Kyoei Steel Works Tbk PT,Indonesia,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","153,622,905,312.00","158,541,385,316.00","159,342,936,263.00","168,201,512,628.00","169,294,099,302.00","651,740,283,800.00","652,422,053,604.00","653,115,001,425.00","665,130,229,356.00","666,155,654,056.00",-2.7%,-0.1%,1.9%,0.0%,-0.6%
JMAS.JK,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk PT,Indonesia,145.00,61.00,105.00,174.00,200.00,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","303,071,537,483.00","293,113,078,294.00","249,050,970,770.00","239,408,270,443.00","198,032,338,757.00","182,865,086,370.00","176,678,663,749.00","133,380,563,980.00","123,095,971,013.00","84,333,937,217.00",1.2%,0.8%,0.8%,0.1%,0.7%
JPFA.JK,Japfa Comfeed Indonesia Tbk PT,Indonesia,"1,940.00","1,180.00","1,295.00","1,720.00","1,465.00","11,627,669,901.00","11,627,669,901.00","11,620,308,701.00","11,620,308,701.00","11,657,690,601.00","34,666,283,000,000.00","34,109,431,000,000.00","32,690,887,000,000.00","28,589,656,000,000.00","25,951,760,000,000.00","18,093,761,000,000.00","19,942,219,000,000.00","19,036,110,000,000.00","15,486,946,000,000.00","14,539,790,000,000.00",12.3%,3.8%,6.3%,10.2%,6.4%
JRPT.JK,Jaya Real Property Tbk PT,Indonesia,740.00,700.00,500.00,520.00,600.00,"12,910,719,100.00","12,910,719,100.00","13,070,170,700.00","13,334,373,100.00","13,615,512,100.00","14,102,617,675,000.00","13,206,898,387,000.00","12,251,800,500,000.00","11,748,147,834,000.00","11,481,521,265,000.00","3,982,977,608,000.00","3,936,063,377,000.00","3,619,754,827,000.00","3,594,354,650,000.00","3,606,436,882,000.00",9.3%,8.9%,8.2%,7.5%,10.1%
JSKY.JK,Sky Energy Indonesia Tbk PT,Indonesia,52.00,52.00,52.00,105.00,230.00,"2,032,540,000.00","2,032,540,000.00","2,032,540,000.00","2,032,540,000.00","2,032,540,000.00","245,995,354,738.00","334,667,756,926.00","495,492,401,031.00","542,056,619,997.00","570,650,645,587.00","259,606,511,989.00","224,621,037,797.00","263,289,023,426.00","317,636,274,640.00","364,527,233,572.00",-42.8%,-20.0%,1.5%,3.9%,6.5%
JSMR.JK,Jasa Marga (Persero) Tbk PT,Indonesia,"4,330.00","4,870.00","2,980.00","3,890.00","4,630.00","7,257,871,200.00","7,257,871,200.00","7,257,871,200.00","7,257,871,200.00","7,257,871,200.00","140,726,439,000,000.00","129,311,989,000,000.00","91,139,182,000,000.00","101,242,884,000,000.00","104,086,646,000,000.00","83,185,286,000,000.00","90,400,783,000,000.00","65,517,793,000,000.00","75,742,569,000,000.00","79,311,031,000,000.00",4.3%,7.2%,3.9%,2.0%,0.7%
JSPT.JK,Jakarta Setiabudi Internasional Tbk PT,Indonesia,"9,725.00","1,295.00",840.00,755.00,850.00,"2,318,736,000.00","2,318,736,000.00","2,318,736,000.00","2,318,736,000.00","2,318,736,000.00","6,457,844,771,000.00","6,273,818,715,000.00","6,083,350,540,000.00","5,682,538,723,000.00","5,751,634,560,000.00","3,531,109,991,000.00","3,636,019,700,000.00","3,382,102,301,000.00","2,973,906,693,000.00","2,735,056,960,000.00",5.8%,4.5%,-0.9%,-5.7%,-4.2%
JTPE.JK,Jasuindo Tiga Perkasa Tbk PT,Indonesia,220.00,308.00,264.00,263.75,252.50,"6,852,050,000.00","6,852,050,000.00","6,852,050,000.00","6,852,050,000.00","6,852,050,000.00","2,056,046,902,628.00","1,789,774,127,224.00","1,563,637,707,080.00","1,212,589,829,191.00","1,038,097,010,616.00","800,599,905,994.00","704,654,618,041.00","541,571,305,569.00","301,750,608,990.00","267,681,176,266.00",16.7%,17.1%,13.1%,11.1%,8.9%
KAEF.JK,Kimia Farma Tbk PT,Indonesia,605.00,"1,445.00","1,085.00","2,430.00","4,250.00","5,566,490,351.00","5,554,000,000.00","5,554,000,000.00","5,554,000,000.00","5,554,000,000.00","17,585,297,583,000.00","19,797,322,545,000.00","17,229,101,040,000.00","17,562,816,674,000.00","18,352,877,132,000.00","11,192,592,254,000.00","11,794,566,833,000.00","11,339,676,866,000.00","10,457,144,628,000.00","10,939,950,304,000.00",-11.6%,-0.1%,2.3%,0.4%,0.3%
KAQI.JK,Jantra Grupo Indonesia PT Tbk,Indonesia,,,,,,"2,075,800,000.00","2,075,800,000.00","2,075,800,000.00",,,"65,567,343,436.00","16,266,941,842.00","2,559,045,413.00",,,"14,185,730,871.00","13,082,551,025.00","185,136,281.00",,,28.1%,10.7%,,,
KARW.JK,Meratus Jasa Prima Tbk PT,Indonesia,"2,230.00",50.00,87.00,137.00,75.00,"587,152,700.00","587,152,700.00","587,152,700.00","587,152,700.00","587,152,700.00","201,103,906,010.00","191,420,198,400.00","231,657,225,910.00","256,696,122,750.00","292,710,454,920.00","719,619,602,410.00","689,143,165,550.00","753,566,104,665.00","748,219,021,500.00","768,809,985,840.00",1.8%,12.7%,8.6%,-1.7%,0.7%
KAYU.JK,Darmi Bersaudara Tbk PT,Indonesia,18.00,121.00,50.00,50.00,77.00,"665,000,000.00","665,000,000.00","665,000,000.00","665,000,000.00","665,000,000.00","98,968,626,103.00","104,584,580,091.00","106,481,428,991.00","110,332,632,100.00","105,632,047,107.00","17,838,174,448.00","24,260,899,127.00","27,891,847,156.00","31,989,066,849.00","27,533,119,078.00",1.1%,2.3%,0.2%,0.5%,4.8%
KBAG.JK,Karya Bersama Anugerah Tbk PT,Indonesia,21.00,50.00,50.00,62.00,50.00,"7,150,002,603.00","7,150,002,603.00","7,150,001,691.00","7,150,001,509.00","7,150,000,106.00","413,383,635,874.00","424,846,170,502.00","443,422,913,606.00","458,744,601,288.00","463,491,459,004.00","57,037,641,033.00","44,234,161,390.00","53,394,262,317.00","77,243,842,432.00","81,038,905,732.00",-5.7%,-1.9%,2.3%,0.6%,2.0%
KBLI.JK,KMI Wire and Cable Tbk PT,Indonesia,390.00,338.00,314.00,280.00,384.00,"4,007,235,107.00","4,007,235,107.00","4,007,235,107.00","4,007,235,107.00","4,007,235,107.00","3,120,121,052,477.00","2,976,407,140,255.00","2,797,005,026,270.00","2,725,242,711,423.00","3,009,724,379,484.00","333,194,743,386.00","381,355,701,983.00","301,997,266,597.00","272,257,917,579.00","659,558,093,623.00",9.3%,4.8%,3.1%,3.8%,-1.5%
KBLM.JK,Kabelindo Murni Tbk PT,Indonesia,290.00,262.00,244.00,226.00,216.00,"1,120,000,000.00","1,120,000,000.00","1,120,000,000.00","1,120,000,000.00","1,120,000,000.00","1,891,149,003,560.00","1,597,442,418,776.00","1,508,596,356,369.00","1,497,181,021,456.00","1,026,762,882,496.00","469,346,689,838.00","332,693,315,665.00","263,944,952,156.00","283,750,515,897.00","185,150,026,551.00",5.8%,2.7%,2.3%,-0.9%,0.8%
KBLV.JK,First Media Tbk PT,Indonesia,90.00,72.00,99.00,570.00,410.00,"1,742,167,907.00","1,742,167,907.00","1,742,167,907.00","1,742,167,907.00","1,742,167,907.00","2,171,641,000,000.00","1,029,445,000,000.00","1,271,090,000,000.00","4,585,222,000,000.00","6,606,047,000,000.00","1,433,172,000,000.00","1,615,824,000,000.00","1,677,346,000,000.00","4,554,830,000,000.00","5,680,226,000,000.00",3.6%,-6.6%,-11.8%,-27.2%,-3.9%
KBRI.JK,Kertas Basuki Rachmat Indonesia Tbk PT,Indonesia,,,,,,"8,687,995,734.00","8,687,995,734.00","8,687,995,734.00","8,687,995,734.00","8,687,995,734.00","1,058,927,511,760.00","1,171,234,610,856.00","1,263,726,833,318.00","1,455,931,208,462.00","1,298,895,336,018.00","889,238,993,546.00","878,173,162,999.00","844,568,778,363.00","934,677,601,389.00","621,855,911,958.00",-10.4%,-8.6%,-6.1%,-9.6%,-1.6%
KDSI.JK,Kedawung Setia Industrial Tbk PT,Indonesia,460.00,435.00,287.50,273.75,206.25,"1,620,000,000.00","1,620,000,000.00","1,620,000,000.00","1,620,000,000.00","1,620,000,000.00","1,132,009,903,123.00","1,128,518,916,364.00","1,289,211,450,108.00","1,353,868,759,222.00","1,245,707,236,962.00","306,871,503,360.00","344,173,362,496.00","551,310,313,962.00","652,355,217,431.00","582,239,031,320.00",11.1%,7.9%,8.2%,7.2%,6.6%
KDTN.JK,Puri Sentul Permai Tbk PT,Indonesia,120.00,116.00,145.00,,,"1,250,023,298.00","1,250,016,195.00","1,250,000,000.00","1,300,000,000.00","1,300,000,000.00","75,031,426,901.00","75,639,962,642.00","77,487,567,487.00","43,261,724,289.00","35,294,245,060.00","7,728,629,507.00","8,878,867,113.00","12,523,741,296.00","13,936,807,665.00","14,392,265,126.00",3.1%,5.4%,5.4%,45.5%,7.4%
KEEN.JK,Kencana Energi Lestari Tbk PT,Indonesia,590.00,775.00,650.00,446.00,400.00,"3,666,312,500.00","3,666,312,500.00","3,666,312,500.00","3,666,312,500.00","3,666,312,500.00","5,689,047,091,750.00","5,431,224,434,330.00","4,920,402,943,720.00","4,286,050,077,000.00","4,035,139,355,520.00","2,573,726,713,950.00","2,541,193,055,955.00","2,195,413,193,985.00","1,956,998,556,000.00","1,837,360,760,040.00",3.0%,5.5%,5.8%,4.2%,1.4%
KEJU.JK,Mulia Boga Raya PT,Indonesia,810.00,308.00,381.33,316.00,361.33,"5,624,929,688.38","5,624,929,688.38","5,624,929,688.38","5,624,929,688.38","5,624,929,688.38","974,057,856,516.00","828,378,354,007.00","860,100,358,989.00","767,726,284,113.00","674,806,910,037.00","234,190,127,915.00","157,605,395,595.00","156,594,539,652.00","181,900,755,126.00","233,905,945,919.00",20.6%,12.2%,18.5%,25.4%,23.4%
KETR.JK,Ketrosden Triasmitra PT,Indonesia,176.00,234.00,276.00,,,"2,841,262,838.00","2,841,262,838.00","2,841,262,838.00","2,841,262,838.00","2,841,262,838.00","2,071,054,520,464.00","2,175,079,867,209.00","1,605,014,790,547.00","1,386,110,796,325.00","1,004,588,702,470.00","1,041,956,931,502.00","1,232,550,744,649.00","739,930,820,251.00","715,860,071,418.00","449,229,740,262.00",4.8%,4.7%,5.2%,10.8%,8.1%
KIAS.JK,Keramika Indonesia Assosiasi Tbk PT,Indonesia,22.00,15.00,50.00,50.00,50.00,"14,929,100,000.00","14,929,100,000.00","14,929,100,000.00","14,929,100,000.00","14,929,100,000.00","983,701,000,000.00","968,385,722,136.00","1,065,879,552,778.00","1,000,024,467,440.00","1,021,382,709,921.00","188,182,000,000.00","148,551,175,647.00","212,878,145,612.00","153,595,081,446.00","169,127,346,041.00",-2.5%,-3.8%,0.1%,0.3%,-5.4%
KICI.JK,Kedaung Indah Can Tbk PT,Indonesia,131.00,135.00,206.00,288.00,212.00,"276,000,000.00","276,000,000.00","276,000,000.00","276,000,000.00","276,000,000.00","197,395,199,298.00","180,247,132,951.00","181,667,554,919.00","185,698,138,869.00","157,023,139,112.00","93,578,237,574.00","70,275,699,036.00","67,161,177,215.00","72,736,194,419.00","76,253,665,513.00",-4.9%,-3.3%,0.3%,16.1%,0.8%
KIJA.JK,Kawasan Industri Jababeka Tbk PT,Indonesia,186.00,134.00,146.00,166.00,214.00,"20,532,388,369.00","20,532,388,369.00","20,532,388,369.00","20,532,388,369.00","20,532,388,369.00","14,017,356,000,000.00","12,947,435,320,238.00","13,110,459,383,600.00","12,292,090,330,026.00","12,200,175,979,870.00","6,478,399,000,000.00","6,016,058,083,818.00","6,605,083,823,533.00","5,920,079,958,943.00","5,939,921,471,289.00",6.4%,4.8%,0.7%,1.1%,0.5%
KING.JK,Hoffmen Cleanindo PT Tbk,Indonesia,141.00,105.00,,,,"2,600,209,225.00","2,600,004,883.00","3,980,000,000.00","2,600,000,000.00","2,600,000,000.00","160,124,524,230.00","147,218,734,114.00","75,394,920,104.00","55,624,036,988.00","41,468,756,114.00","54,949,022,178.00","53,750,769,103.00","47,544,337,270.00","50,509,608,668.00","56,205,987,292.00",9.8%,3.2%,2.9%,6.2%,0.3%
KINO.JK,Kino Indonesia Tbk PT,Indonesia,"1,200.00","1,265.00","1,535.00","2,030.00","2,720.00","1,378,818,900.00","1,378,818,900.00","1,428,571,500.00","1,428,571,500.00","1,428,571,500.00","4,501,385,830,768.00","4,646,378,817,802.00","4,676,372,045,095.00","5,346,800,159,052.00","5,255,359,155,031.00","2,851,025,198,999.00","3,027,648,359,660.00","3,142,551,744,669.00","2,683,168,655,955.00","2,678,123,608,810.00",2.3%,2.4%,-18.3%,2.4%,2.7%
KIOS.JK,Kioson Komersial Indonesia Tbk PT,Indonesia,50.00,51.00,175.00,509.09,143.52,"1,075,862,960.00","1,075,862,550.00","1,075,859,850.00","739,651,335.46","739,651,335.46","152,805,015,178.00","166,289,310,390.00","180,163,505,051.00","79,197,568,853.00","187,967,965,333.00","14,755,099,535.00","14,617,172,680.00","11,293,957,483.00","17,571,276,558.00","138,236,199,848.00",-11.0%,-12.4%,3.4%,1.5%,-17.7%
KJEN.JK,Krida Jaringan Nusantara Tbk PT,Indonesia,206.00,89.00,181.00,"1,100.00","1,145.00","500,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00","66,503,929,434.00","68,058,324,498.00","69,136,014,725.00","73,132,687,738.00","67,668,621,418.00","4,233,187,847.00","5,805,507,200.00","6,897,790,934.00","9,174,455,556.00","2,053,419,204.00",0.2%,-0.1%,-3.2%,-2.8%,1.0%
KKES.JK,Kusuma Kemindo Sentosa PT,Indonesia,26.00,50.00,127.00,,,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00","1,200,000,000.00","1,200,000,000.00","108,821,108,709.00","123,718,708,699.00","114,434,013,523.00","112,100,477,269.00","103,562,039,143.00","43,802,102,685.00","57,194,498,973.00","51,837,179,077.00","80,735,754,304.00","90,944,158,715.00",-1.2%,3.6%,7.2%,20.2%,-6.4%
KKGI.JK,Resource Alam Indonesia Tbk PT,Indonesia,545.00,368.00,386.10,254.83,256.76,"4,847,627,800.00","4,692,480,487.17","4,835,794,990.93","4,862,421,875.16","4,862,421,875.16","3,362,279,351,800.00","3,087,260,341,200.00","2,648,924,699,850.00","1,883,597,874,750.00","1,525,983,493,320.00","774,118,556,290.00","942,110,926,685.00","735,376,923,490.00","473,978,526,750.00","343,105,687,080.00",29.4%,21.1%,38.4%,28.2%,-8.0%
KLAS.JK,Pelayaran Kurnia Lautan Semesta Tbk PT,Indonesia,105.00,49.90,,,,"3,644,415,975.00","3,644,429,188.63","3,644,429,188.63","3,644,429,188.63","3,644,429,188.63","391,776,341,308.00","360,170,211,826.00","233,470,591,238.00","226,335,859,712.00","204,031,726,168.00","160,713,138,791.00","148,059,979,868.00","120,885,013,450.00","157,907,395,280.00","145,450,583,728.00",6.9%,9.1%,16.0%,5.2%,4.4%
KLBF.JK,Kalbe Farma Tbk PT,Indonesia,"1,360.00","1,610.00","2,090.00","1,615.00","1,480.00","45,951,464,210.00","46,255,641,410.00","46,255,641,410.00","46,872,947,110.00","46,872,947,110.00","29,429,727,898,195.00","27,057,568,182,323.00","27,241,313,025,674.00","25,666,635,156,271.00","22,564,300,317,374.00","4,839,294,087,709.00","3,937,546,172,108.00","5,143,984,823,285.00","4,400,757,363,148.00","4,288,218,173,294.00",15.0%,13.3%,16.9%,17.2%,17.0%
KLIN.JK,Klinko Karya Imaji PT Tbk,Indonesia,189.00,28.00,35.00,,,"1,307,530,330.00","1,307,530,330.00","1,307,500,000.00","1,307,500,000.00","1,307,500,000.00","44,636,681,249.00","44,756,205,298.00","44,614,789,356.00","24,209,726,495.00","1,201,086,284.00","11,280,638,177.00","10,920,484,727.00","11,249,222,622.00","13,326,758,691.00","600,589,153.00",-1.5%,2.2%,-3.3%,2.5%,
KMDS.JK,Kurniamitra Duta Sentosa Tbk PT,Indonesia,585.00,424.00,575.00,434.00,470.00,"800,000,000.00","800,000,000.00","800,000,000.00","800,000,000.00","800,000,000.00","270,081,060,022.00","245,154,391,129.00","233,321,416,964.00","189,319,292,312.00","145,488,436,584.00","37,467,125,355.00","37,541,840,078.00","48,246,892,240.00","36,707,420,737.00","15,576,263,041.00",27.0%,27.2%,29.0%,25.0%,
KMTR.JK,Kirana Megatara Tbk PT,Indonesia,320.00,278.00,258.00,334.00,334.00,"8,215,366,379.00","8,215,366,379.00","8,215,366,379.00","8,215,366,379.00","8,215,366,379.00","5,603,673,083,158.00","4,582,841,788,763.00","4,798,796,482,352.00","5,575,135,591,236.00","5,127,760,608,990.00","3,552,297,757,593.00","2,684,113,538,701.00","2,842,079,572,157.00","3,540,150,966,974.00","3,056,731,466,842.00",5.5%,-1.0%,-0.6%,2.4%,6.5%
KOBX.JK,Kobexindo Tractors Tbk PT,Indonesia,170.00,157.00,352.00,238.00,118.00,"2,272,500,000.00","2,272,500,000.00","2,272,500,000.00","2,272,500,000.00","2,272,500,000.00","3,399,225,834,197.00","3,504,469,145,665.00","2,904,929,971,947.00","2,843,089,861,549.00","1,594,108,802,520.00","3,005,899,897,741.00","3,024,437,352,869.00","2,323,686,700,198.00","2,323,012,696,943.00","1,287,119,330,640.00",-3.2%,-2.9%,2.7%,8.9%,-8.5%
KOCI.JK,Kokoh Exa Nusantara Tbk PT,Indonesia,50.00,50.00,,,,"4,415,591,800.00","4,415,590,000.00","4,415,590,000.00","4,415,590,000.00","4,415,590,000.00","141,253,541,900.00","133,494,395,304.00","76,376,908,776.00","36,082,196,755.00","21,350,412,718.00","12,005,632,363.00","12,052,801,997.00","28,242,689,337.00","24,174,972,259.00","19,587,494,704.00",16.1%,22.0%,40.8%,37.2%,
KOIN.JK,Kokoh Inti Arebama Tbk PT,Indonesia,70.00,81.00,127.00,160.00,101.00,"980,843,732.00","980,843,732.00","980,843,732.00","980,843,732.00","980,843,732.00","905,659,000,000.00","1,012,448,058,425.00","1,097,727,489,194.00","1,066,509,702,250.00","675,863,759,206.00","991,798,000,000.00","1,061,620,523,867.00","1,071,886,158,666.00","968,203,343,973.00","549,267,273,182.00",-3.5%,-7.0%,-6.6%,-2.9%,7.9%
KOKA.JK,Koka Indonesia Tbk PT,Indonesia,67.00,50.00,,,,"2,861,333,000.00","2,861,333,000.00","2,861,333,000.00","2,861,333,000.00","2,861,333,000.00","217,949,536,267.00","215,517,101,014.00","81,533,982,698.00","75,010,279,305.00","45,940,766,046.00","38,048,132,202.00","44,248,161,986.00","16,131,521,548.00","28,956,968,166.00","10,949,699,295.00",4.7%,15.7%,31.5%,26.5%,
