Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
ACES.JK,Aspirasi Hidup Indonesia Tbk PT,Indonesia, 0.15 , 0.15 , 0.13 , 0.16 , 0.17 
ADES.JK,Akasha Wira International Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.01 
ADHI.JK,Adhi Karya (Persero) Tbk PT,Indonesia, 0.92 , 1.31 , 1.19 , 1.86 , 1.75 
ADMF.JK,Adira Dinamika Multi Finance Tbk PT,Indonesia, 1.56 , 1.46 , 1.06 , 1.24 , 2.12 
ADMG.JK,Polychem Indonesia Tbk PT,Indonesia, 0.00 ,,,,
AGRO.JK,Bank Raya Indonesia Tbk PT,Indonesia, 0.10 , 0.03 , 0.11 , 0.11 , 0.06 
AHAP.JK,Asuransi Harta Aman Pratama Tbk PT,Indonesia, 0.16 , 0.14 , 0.01 , 0.23 , 0.03 
AIMS.JK,Artha Mahiya Investama Tbk PT,Indonesia,,,,,
AISA.JK,FKS Food Sejahtera Tbk PT,Indonesia, 0.25 , 0.24 , 0.40 , 0.25 , 0.28 
AKKU.JK,Anugerah Kagum Karya Utama Tbk PT,Indonesia, 0.17 ,, 0.16 , 0.15 , 0.12 
AKPI.JK,Argha Karya Prima Industry Tbk PT,Indonesia, 0.62 , 0.68 , 0.59 , 0.75 , 0.60 
AKRA.JK,AKR Corporindo Tbk PT,Indonesia, 0.36 , 0.33 , 0.23 , 0.27 , 0.39 
AKSI.JK,MINERAL SUMBERDAYA MANDIRI TBK PT,Indonesia, 0.28 , 0.24 , 0.45 , 0.48 , 0.72 
ALKA.JK,Alakasa Industrindo Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
ALMI.JK,Alumindo Light Metal Industry Tbk PT,Indonesia, 2.53 , 1.42 , 0.80 , 0.80 ,
AMAG.JK,Asuransi Multi Artha Guna Tbk PT,Indonesia,,,,,
AMFG.JK,Asahimas Flat Glass Tbk PT,Indonesia, 0.29 , 0.43 , 0.65 , 0.87 , 1.33 
ANTM.JK,Aneka Tambang Tbk PT,Indonesia, 0.00 , 0.08 , 0.13 , 0.29 , 0.41 
APIC.JK,PT Pacific Strategic Financial Tbk,Indonesia, 0.65 , 0.63 , 0.38 , 0.35 , 0.52 
APLI.JK,Asiaplast Industries Tbk PT,Indonesia, 0.19 , 0.27 , 0.39 , 0.46 , 0.70 
ARGO.JK,Argo Pantes Tbk PT,Indonesia, 4.99 , 4.45 ,,,
ARNA.JK,Arwana Citramulia Tbk PT,Indonesia, 0.06 , 0.09 , 0.03 , 0.01 , 0.02 
ARTA.JK,Arthavest Tbk PT,Indonesia,,, 0.00 , 0.00 , 0.00 
ARTI.JK,Ratu Prabu Energi Tbk PT,Indonesia,,,,, 23.77 
ASBI.JK,Asuransi Bintang Tbk PT,Indonesia,,,,,
ASDM.JK,Asuransi Dayin Mitra Tbk PT,Indonesia, 0.02 , 0.01 , 0.02 , 0.01 , 0.02 
ASII.JK,Astra International Tbk PT,Indonesia, 0.37 , 0.37 , 0.29 , 0.34 , 0.41 
ASGR.JK,Astra Graphia Tbk PT,Indonesia, 0.01 , 0.02 , 0.02 , 0.03 , 0.03 
ASJT.JK,Asuransi Jasa Tania Tbk PT,Indonesia,, -   , 0.00 ,,
ASRI.JK,ALAM SUTERA REALTY Tbk PT,Indonesia, 0.53 , 0.55 , 0.62 , 0.78 , 0.81 
ASRM.JK,Asuransi Ramayana Tbk PT,Indonesia, 0.23 , 0.02 , 0.02 , 0.12 , 0.10 
AUTO.JK,Astra Otoparts Tbk PT,Indonesia, 0.04 , 0.03 , 0.04 , 0.04 , 0.07 
BABP.JK,Bank MNC Internasional Tbk PT,Indonesia, 0.32 , 0.05 , 0.14 , 0.00 , 0.03 
BACA.JK,Bank Capital Indonesia Tbk PT,Indonesia, -   , 0.07 , 0.15 , 0.33 , 0.42 
BAPA.JK,Bekasi Asri Pemula Tbk PT,Indonesia, 0.02 , 0.02 , 0.02 , 0.02 , 0.03 
BATA.JK,Sepatu Bata Tbk PT,Indonesia,, 1.25 , 0.36 , 0.10 , 0.15 
BAYU.JK,Bayu Buana Tbk PT,Indonesia, -   , -   , 0.00 , 0.00 , 0.00 
BBCA.JK,Bank Central Asia Tbk PT,Indonesia, 0.01 , 0.02 , 0.01 , 0.01 , 0.01 
BBKP.JK,Bank KB Indonesia PT Tbk,Indonesia, 2.95 , 1.09 , 1.30 , 0.65 , 1.36 
BBLD.JK,Buana Finance Tbk PT,Indonesia, 3.59 , 3.04 , 2.40 , 1.77 , 2.32 
BBNI.JK,Bank Negara Indonesia (Persero) Tbk PT,Indonesia, 0.54 , 0.39 , 0.44 , 0.43 , 0.45 
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk PT,Indonesia, 0.58 , 0.53 , 0.51 , 0.53 , 0.89 
BCAP.JK,MNC Kapital Indonesia Tbk PT,Indonesia, 0.49 , 0.29 , 0.26 , 0.24 , 0.29 
BCIC.JK,Bank JTrust Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , -   , 0.18 
BDMN.JK,Bank Danamon Indonesia Tbk PT,Indonesia, 0.44 , 0.31 , 0.21 , 0.25 , 0.40 
BEKS.JK,Bank Pembangunan Daerah Banten Tbk PT,Indonesia, 0.00 , 0.09 , -   , -   , 0.32 
BFIN.JK,BFI Finance Indonesia Tbk PT,Indonesia, 1.35 , 1.41 , 1.35 , 0.98 , 1.18 
BHIT.JK,MNC Asia Holding Tbk PT,Indonesia, 0.59 , 0.59 , 0.62 , 0.62 , 0.74 
BIMA.JK,Primarindo Asia Infrastructure Tbk PT,Indonesia, 0.60 , 0.47 , 0.47 , 3.29 , 1.00 
BIPP.JK,Bhuwanatala Indah Permai Tbk PT,Indonesia, 0.60 , 0.55 , 0.46 , 0.42 , 0.40 
BISI.JK,BISI International Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
BKDP.JK,Bukit Darmo Property Tbk PT,Indonesia,,,, -   , 0.29 
BKSL.JK,PT Sentul City Tbk,Indonesia, 0.15 , 0.16 , 0.24 , 0.21 , 0.29 
BKSW.JK,Bank QNB Indonesia Tbk PT,Indonesia, 0.02 , 0.08 , 0.21 , 0.25 , 0.26 
BLTA.JK,Berlian Laju Tanker Tbk PT,Indonesia, 1.18 , 0.70 , 0.67 , 0.89 , 1.04 
BMRI.JK,Bank Mandiri (Persero) Tbk PT,Indonesia, 0.90 , 0.64 , 0.53 , 0.47 , 0.46 
BMSR.JK,Bintang Mitra Semestaraya Tbk PT,Indonesia, 0.40 , 0.34 , 0.27 , 0.93 , 2.24 
BMTR.JK,Global Mediacom Tbk PT,Indonesia, 0.21 , 0.24 , 0.29 , 0.35 , 0.45 
BNBA.JK,Bank Bumi Arta Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
BNBR.JK,Bakrie & Brothers Tbk PT,Indonesia, 0.32 , 0.82 , 1.34 , 1.72 , 1.48 
BNII.JK,Bank Maybank Indonesia Tbk PT,Indonesia, 1.07 , 0.47 , 0.55 , 0.47 , 0.56 
BNGA.JK,Bank CIMB Niaga Tbk PT,Indonesia, 0.41 , 0.59 , 0.26 , 0.20 , 0.40 
BNLI.JK,Bank Permata Tbk PT,Indonesia, 0.35 , 0.34 , 0.27 , 0.25 , 0.28 
BRAM.JK,Indo Kordsa Tbk PT,Indonesia, 0.03 , 0.04 , 0.04 , 0.10 , 0.09 
BRNA.JK,Berlina Tbk PT,Indonesia, 0.87 , 1.21 , 1.11 , 0.88 , 1.05 
BRPT.JK,Barito Pacific Tbk PT,Indonesia, 1.11 , 1.04 , 1.07 , 0.73 , 0.97 
BSWD.JK,Bank Of India Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
BTEK.JK,Bumi Teknokultura Unggul Tbk PT,Indonesia, 6.40 , 2.30 , 2.17 , 1.41 , 1.30 
BTEL.JK,Bakrie Telecom Tbk PT,Indonesia,,,,,
BTON.JK,Betonjaya Manunggal Tbk PT,Indonesia,, -   , -   , 0.14 ,
BTPN.JK,PT Bank SMBC Indonesia Tbk,Indonesia, 1.02 , 0.84 , 1.23 , 1.08 , 1.18 
BUDI.JK,Budi Starch & Sweetener Tbk PT,Indonesia, 1.05 , 0.83 , 0.87 , 0.82 , 0.91 
BUMI.JK,Bumi Resources Tbk PT,Indonesia, 0.17 , 0.18 , 0.21 , 2.90 , 12.95 
BVIC.JK,Bank Victoria International Tbk PT,Indonesia, 0.74 , 0.53 , 0.36 , 0.89 , 1.21 
CEKA.JK,Wilmar Cahaya Indonesia Tbk PT,Indonesia,,,, -   ,
CENT.JK,Centratama Telekomunikasi Indonesia Tbk PT,Indonesia, 4.83 ,,, 8.06 , 1.53 
CFIN.JK,Clipan Finance Indonesia Tbk PT,Indonesia, 0.71 , 0.73 , 0.49 , 0.41 , 1.24 
CITA.JK,Pt Cita Mineral Investindo Tbk,Indonesia, -   , 0.04 ,, 0.00 , 0.01 
CLPI.JK,Colorpak Indonesia Tbk PT,Indonesia, 0.11 , 0.12 , 0.18 , 0.25 , 0.10 
CMNP.JK,Citra Marga Nusaphala Persada Tbk PT,Indonesia, 0.46 , 0.41 , 0.24 , 0.15 , 0.53 
CMPP.JK,AirAsia Indonesia Tbk PT,Indonesia,,,,,
CNKO.JK,Exploitasi Energi Indonesia Tbk PT,Indonesia,,,,,
CNTB.JK,Century Textile Industry Tbk PT,Indonesia,,,,,
COWL.JK,Cowell Development Tbk PT,Indonesia,, 2.14 , 1.69 , 1.57 , 1.58 
CPIN.JK,Charoen Pokphand Indonesia Tbk PT,Indonesia, 0.28 , 0.35 , 0.35 , 0.25 , 0.19 
CPRO.JK,Central Proteina Prima Tbk PT,Indonesia, 0.48 , 0.63 , 0.74 , 0.79 , 5.08 
CSAP.JK,Catur Sentosa Adiprana Tbk PT,Indonesia, 1.34 , 1.17 , 1.56 , 1.45 , 1.26 
CTBN.JK,Citra Tubindo Tbk PT,Indonesia, 0.00 , 0.01 , 0.01 , 0.02 , 0.02 
CTRA.JK,Ciputra Development Tbk PT,Indonesia, 0.32 , 0.36 , 0.42 , 0.49 , 0.57 
CTTH.JK,Citatah Tbk PT,Indonesia, 1.01 , 0.92 , 1.86 , 1.52 , 1.35 
DART.JK,Duta Anggada Realty Tbk PT,Indonesia, 2.38 , 1.99 , 1.68 , 1.36 , 1.08 
DEFI.JK,Danasupra Erapacific Tbk PT,Indonesia, 0.04 ,,,,
DEWA.JK,Darma Henwa Tbk PT,Indonesia, 0.54 , 0.19 , 0.35 , 0.41 , 0.39 
DGIK.JK,Nusa Konstruksi Enjiniring Tbk PT,Indonesia, 0.17 , 0.07 , 0.02 , 0.03 , 0.09 
DILD.JK,Intiland Development Tbk PT,Indonesia, 0.61 , 0.72 , 0.79 , 0.80 , 0.83 
DKFT.JK,Central Omega Resources Tbk PT,Indonesia, 0.87 , 1.97 , 2.04 , 2.23 , 1.17 
DLTA.JK,Delta Djakarta Tbk PT,Indonesia, 0.01 ,,,,
DNET.JK,Indoritel Makmur Internasional Tbk PT,Indonesia, 0.45 , 0.49 , 0.49 , 0.57 , 0.68 
DOID.JK,PT BUMA Internasional Grup Tbk,Indonesia, 5.18 , 4.37 , 3.70 , 3.50 , 2.16 
DPNS.JK,Duta Pertiwi Nusantara Tbk PT,Indonesia,,,,,
DSFI.JK,Dharma Samudera Fishing Industries Tbk PT,Indonesia, 0.36 , 0.34 , 0.35 , 0.40 , 0.46 
DUTI.JK,Duta Pertiwi Tbk PT,Indonesia, -   , 0.00 , 0.00 , 0.01 , 0.00 
DVLA.JK,Darya-Varia Laboratoria Tbk PT,Indonesia, 0.03 , 0.05 , 0.00 , 0.02 , 0.05 
EKAD.JK,Ekadharma International Tbk PT,Indonesia, 0.02 , 0.02 , 0.03 , 0.05 , 0.04 
ELSA.JK,Elnusa Tbk PT,Indonesia, 0.24 , 0.28 , 0.34 , 0.30 , 0.47 
ELTY.JK,Bakrieland Development Tbk PT,Indonesia, 0.13 , 0.11 , 0.10 , 0.18 , 0.17 
ENRG.JK,Energi Mega Persada Tbk PT,Indonesia, 0.61 , 0.47 , 0.34 , 0.43 , 0.88 
EPMT.JK,Enseval Putera Megatrading Tbk PT,Indonesia, 0.03 , 0.02 , 0.02 , 0.00 , 0.00 
ERTX.JK,Eratex Djaja Tbk PT,Indonesia, 1.51 , 1.61 , 1.79 , 2.09 , 2.06 
ESTI.JK,Ever Shine Tex Tbk PT,Indonesia, 0.83 , 1.08 , 1.27 , 1.20 , 1.68 
ETWA.JK,Eterindo Wahanatama Tbk PT,Indonesia,,,,,
EXCL.JK,XLSMART Telecom Sejahtera Tbk PT,Indonesia, 1.76 , 1.73 , 1.71 , 1.77 , 1.76 
FAST.JK,Fast Food Indonesia Tbk PT,Indonesia, 10.33 , 1.73 , 0.99 , 0.68 , 0.51 
FASW.JK,Fajar Surya Wisesa Tbk PT,Indonesia, 2.25 , 1.46 , 1.21 , 1.24 , 1.15 
FISH.JK,FKS Multi Agro Tbk PT,Indonesia, 0.74 , 0.83 , 0.85 , 1.08 , 0.64 
FMII.JK,Fortune Mate Indonesia Tbk PT,Indonesia, 0.09 , 0.10 , 0.09 , 0.29 , 0.31 
FORU.JK,Fortune Indonesia Tbk PT,Indonesia, 0.07 , 0.01 , 0.06 ,,
FPNI.JK,Lotte Chemical Titan Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.01 
GDYR.JK,Goodyear Indonesia Tbk PT,Indonesia, 0.03 , 0.17 , 0.28 , 0.21 , 0.56 
GEMA.JK,Gema Grahasarana Tbk PT,Indonesia, 1.04 , 1.02 , 0.98 , 0.96 , 0.91 
GGRM.JK,Gudang Garam Tbk PT,Indonesia, 0.15 , 0.22 , 0.18 , 0.17 , 0.11 
GJTL.JK,Gajah Tunggal Tbk PT,Indonesia, 0.54 , 0.60 , 0.81 , 0.76 , 0.77 
GMTD.JK,Gowa Makassar Tourism Development Tbk PT,Indonesia, -   , -   , 0.07 , 0.04 , 0.12 
GPRA.JK,Perdana Gapura Prima Tbk PT,Indonesia, 0.17 , 0.17 , 0.13 , 0.23 , 0.29 
GSMF.JK,Equity Development Investment Tbk PT,Indonesia, 0.02 , 0.03 , 0.04 , 0.13 , 0.30 
HADE.JK,Himalaya Energi Perkasa Tbk PT,Indonesia,,,,,
HERO.JK,DFI Retail Nusantara Tbk Pt,Indonesia, 1.04 , 1.89 , 4.63 , 4.46 , 0.67 
HEXA.JK,Hexindo Adiperkasa Tbk PT,Indonesia, 0.97 , 0.59 , 0.63 , 0.03 , 0.01 
HITS.JK,Humpuss Intermoda Transportasi Tbk PT,Indonesia, 0.86 , 0.70 , 0.61 , 1.17 , 0.98 
HMSP.JK,Hanjaya Mandala Sampoerna Tbk PT,Indonesia, 0.02 , 0.02 , 0.02 , 0.01 , 0.01 
IATA.JK,PT MNC Energy Investments Tbk,Indonesia, 0.39 , 0.71 , 0.47 , 0.72 , 1.20 
ICON.JK,Pt Island Concepts Indonesia Tbk,Indonesia, 0.06 , 0.07 , 0.04 , 0.02 , 0.03 
IGAR.JK,Champion Pacific Indonesia Tbk PT,Indonesia, 0.00 , -   , -   , -   ,
IIKP.JK,Inti Agri Resources Tbk PT,Indonesia,,,,, -   
IKAI.JK,Intikeramik Alamasri Industri Tbk PT,Indonesia, 0.30 , 0.30 , 0.36 , 0.37 , 0.35 
IKBI.JK,Sumi Indo Kabel Tbk PT,Indonesia, 0.15 , 0.03 , 0.31 , 0.27 , 0.06 
IMAS.JK,Indomobil Sukses Internasional Tbk PT,Indonesia, 2.75 , 2.56 , 2.53 , 2.46 , 2.41 
INAF.JK,Indofarma Tbk PT,Indonesia,,,, 1.36 , 1.06 
INAI.JK,Indal Aluminium Industry Tbk PT,Indonesia, 3.71 , 2.91 , 2.81 , 1.79 , 2.23 
INCF.JK,Indo Komoditi Korpora Tbk PT,Indonesia, 1.81 , 1.93 , 2.09 , 2.62 , 2.28 
INCI.JK,Intanwijaya Internasional Tbk PT,Indonesia, 0.01 , 0.01 , 0.01 , 0.01 , 0.01 
INCO.JK,Vale Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
INDF.JK,Indofood Sukses Makmur Tbk PT,Indonesia, 0.65 , 0.64 , 0.71 , 0.71 , 0.67 
INDR.JK,Indo-Rama Synthetics Tbk PT,Indonesia, 0.30 , 0.28 , 0.28 , 0.32 , 0.49 
INDS.JK,Indospring Tbk PT,Indonesia, 0.06 , 0.11 , 0.16 , 0.11 , 0.01 
INDX.JK,Tanah Laut Tbk PT,Indonesia,,,,,
INKP.JK,Indah Kiat Pulp & Paper Tbk PT,Indonesia, 0.72 , 0.58 , 0.60 , 0.75 , 0.86 
INPC.JK,Bank Artha Graha Internasional Tbk PT,Indonesia, 0.16 , 0.05 , 0.05 , 0.05 , 0.06 
INPP.JK,Indonesian Paradise Property Tbk PT,Indonesia, 0.32 , 0.29 , 0.30 , 0.28 , 0.24 
INRU.JK,Toba Pulp Lestari Tbk PT,Indonesia, 3.74 , 2.89 , 2.24 , 1.86 , 1.66 
INTA.JK,Intraco Penta Tbk PT,Indonesia,,,,,
INTD.JK,Inter Delta Tbk PT,Indonesia,,,, -   , 0.00 
INTP.JK,Indocement Tunggal Prakarsa Tbk PT,Indonesia, 0.11 , 0.13 , 0.05 , 0.01 , 0.02 
ISAT.JK,Indosat Tbk PT,Indonesia, 1.50 , 1.60 , 1.78 , 3.29 , 2.15 
ITMA.JK,Sumber Energi Andalan Tbk PT,Indonesia, 0.07 , 0.04 , 0.04 , 0.06 ,
ITMG.JK,Indo Tambangraya Megah Tbk PT,Indonesia, 0.04 , 0.03 , 0.03 , 0.04 , 0.08 
JECC.JK,Jembo Cable Company Tbk PT,Indonesia, 1.38 , 0.93 , 1.19 , 0.86 , 0.47 
JIHD.JK,Jakarta International Hotels & Development Tbk PT,Indonesia, 0.05 , 0.06 , 0.06 , 0.06 , 0.05 
JKON.JK,Jaya Konstruksi Manggala Pratama Tbk PT,Indonesia, 0.05 , 0.08 , 0.06 , 0.06 , 0.33 
JPFA.JK,Japfa Comfeed Indonesia Tbk PT,Indonesia, 0.65 , 0.91 , 0.94 , 0.78 , 0.69 
JRPT.JK,Jaya Real Property Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
JSMR.JK,Jasa Marga (Persero) Tbk PT,Indonesia, 1.04 , 1.81 , 2.07 , 2.49 , 2.65 
JSPT.JK,Jakarta Setiabudi Internasional Tbk PT,Indonesia, 0.95 , 1.12 , 1.01 , 0.83 , 0.64 
JTPE.JK,Jasuindo Tiga Perkasa Tbk PT,Indonesia, 0.02 , 0.03 , 0.10 , 0.05 , 0.04 
KAEF.JK,Kimia Farma Tbk PT,Indonesia, 2.11 , 1.62 , 1.01 , 1.36 , 1.09 
KARW.JK,Meratus Jasa Prima Tbk PT,Indonesia,,,,,
KBLM.JK,Kabelindo Murni Tbk PT,Indonesia, -   , -   , 0.05 , 0.15 , 0.11 
KBLV.JK,First Media Tbk PT,Indonesia, 0.02 ,,, 50.64 , 2.09 
KBLI.JK,KMI Wire and Cable Tbk PT,Indonesia, 0.00 , 0.04 , 0.02 , 0.01 , 0.07 
KDSI.JK,Kedawung Setia Industrial Tbk PT,Indonesia, 0.10 , 0.12 , 0.40 , 0.52 , 0.39 
KIAS.JK,Keramika Indonesia Assosiasi Tbk PT,Indonesia, 0.05 , 0.00 , 0.04 , 0.00 , 0.00 
KIJA.JK,Kawasan Industri Jababeka Tbk PT,Indonesia, 0.60 , 0.64 , 0.77 , 0.68 , 0.68 
KICI.JK,Kedaung Indah Can Tbk PT,Indonesia, 0.21 , 0.10 , 0.11 , 0.13 , 0.08 
KKGI.JK,Resource Alam Indonesia Tbk PT,Indonesia, 0.02 , 0.04 , 0.03 , 0.05 , 0.07 
KLBF.JK,Kalbe Farma Tbk PT,Indonesia, 0.02 , 0.03 , 0.05 , 0.03 , 0.06 
KONI.JK,Perdana Bangun Pusaka Tbk PT,Indonesia,,,, -   , 0.50 
KPIG.JK,MNC Tourism Indonesia Pt Tbk,Indonesia, 0.22 , 0.22 , 0.22 , 0.24 , 0.24 
KREN.JK,Quantum Clovera Investama Tbk PT,Indonesia, 0.15 , 0.13 , 0.05 , 0.06 , 0.07 
LAPD.JK,Leyand International Tbk PT,Indonesia, 2.15 , 0.97 ,,,
LCGP.JK,Eureka Prima Jakarta Tbk PT,Indonesia,,,,,
LION.JK,Lion Metal Works Tbk PT,Indonesia, 0.10 , 0.15 , 0.08 , 0.08 , 0.08 
LMAS.JK,Limas Indonesia Makmur Tbk PT,Indonesia,, 1.03 , 1.24 , 1.65 , 1.78 
LMPI.JK,Langgeng Makmur Industri Tbk PT,Indonesia, 1.88 , 1.42 , 1.23 , 1.19 , 1.06 
LMSH.JK,Lionmesh Prima Tbk PT,Indonesia, 0.01 , 0.01 , 0.01 , 0.06 , 0.06 
LPCK.JK,Lippo Cikarang Tbk PT,Indonesia, 0.10 , 0.12 , 0.12 , 0.14 , 0.15 
LPGI.JK,Lippo General Insurance Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
LPLI.JK,Star Pacific Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , -   , 0.24 
LPIN.JK,Multi Prima Sejahtera Tbk PT,Indonesia, -   , 0.00 , -   , 0.00 ,
LPKR.JK,Lippo Karawaci Tbk PT,Indonesia, 0.30 , 1.03 , 1.11 , 0.88 , 0.76 
LPPF.JK,Matahari Department Store Tbk PT,Indonesia, 8.73 , 117.14 , 5.06 , 2.78 , 6.64 
LPPS.JK,Lenox Pasifik Investama Tbk PT,Indonesia,,,,,
LSIP.JK,Perusahaan Perkebunan London Sumatra Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
LTLS.JK,Lautan Luas Tbk PT,Indonesia, 0.38 , 0.35 , 0.46 , 0.64 , 0.86 
MAIN.JK,Malindo Feedmill Tbk PT,Indonesia, 0.68 , 1.16 , 1.46 , 1.34 , 1.07 
MAPI.JK,Mitra Adiperkasa Tbk PT,Indonesia, 0.54 , 0.67 , 0.58 , 0.71 , 1.05 
MAYA.JK,Bank Mayapada Internasional Tbk PT,Indonesia, 0.12 , 0.17 , 0.19 , 0.13 , 0.25 
MCOR.JK,Bank China Construction Bank Indonesia Tbk PT,Indonesia, 0.30 , 0.09 , 0.08 , 0.07 , 0.07 
MDLN.JK,Modernland Realty Tbk PT,Indonesia, 1.98 , 1.55 , 1.46 , 1.58 , 1.37 
MDRN.JK,Modern Internasional Tbk PT,Indonesia,,,,,
MEDC.JK,Medco Energi Internasional Tbk PT,Indonesia, 1.52 , 1.74 , 1.91 , 2.61 , 2.51 
MEGA.JK,Bank Mega Tbk PT,Indonesia, 0.80 , 0.71 , 0.74 , 0.55 , 0.60 
MERK.JK,Merck Tbk PT,Indonesia, 0.03 , 0.02 , 0.02 , 0.03 , 0.04 
META.JK,Nusantara Infrastructure Tbk PT,Indonesia, 0.12 , 0.14 , 1.91 , 0.85 , 0.60 
MICE.JK,Multi Indocitra Tbk PT,Indonesia, 0.33 , 0.32 , 0.37 , 0.33 , 0.35 
MITI.JK,Mitra Investindo Tbk PT,Indonesia, 0.01 , 0.02 , 0.04 , 0.01 , -   
MIRA.JK,Mitra International Resources Tbk PT,Indonesia, 0.33 , 0.32 , 0.35 , 0.34 , 0.32 
MLBI.JK,Multi Bintang Indonesia Tbk PT,Indonesia, 0.18 , 0.28 , 0.41 , 0.40 , 0.23 
MLIA.JK,Mulia Industrindo Tbk PT,Indonesia, 0.13 , 0.19 , 0.25 , 0.40 , 0.68 
MLPL.JK,Multipolar Tbk PT,Indonesia, 0.38 , 0.44 , 0.48 , 0.76 , 0.94 
MNCN.JK,Media Nusantara Citra Tbk PT,Indonesia, 0.08 , 0.07 , 0.07 , 0.15 , 0.28 
MPPA.JK,Matahari Putra Prima Tbk PT,Indonesia, 9.90 , 6.41 , 11.28 , 3.68 , 13.00 
MRAT.JK,Mustika Ratu Tbk PT,Indonesia, 0.23 , 0.34 , 0.34 , 0.26 , 0.24 
MREI.JK,Maskapai Reasuransi Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
MTDL.JK,Metrodata Electronics Tbk PT,Indonesia, 0.15 , 0.08 , -   , -   , 0.00 
MTFN.JK,Capitalinc Investment Tbk PT,Indonesia,,,,,
MTSM.JK,Metro Realty Tbk PT,Indonesia,,,,,
MYOH.JK,Samindo Resources Tbk PT,Indonesia, 0.13 , 0.23 , 0.00 , 0.01 , 0.00 
MYTX.JK,Asia Pacific Investama Tbk PT,Indonesia,,,,, 62.95 
MYOR.JK,Mayora Indah Tbk PT,Indonesia, 0.48 , 0.28 , 0.43 , 0.45 , 0.43 
NISP.JK,Bank OCBC NISP Tbk PT,Indonesia, 0.50 , 0.53 , 0.46 , 0.15 , 0.19 
OCAP.JK,Onix Capital Tbk PT,Indonesia,,,,,
OKAS.JK,Ancora Indonesia Resources Tbk PT,Indonesia, 1.00 , 1.77 , 7.52 ,, 35.54 
OMRE.JK,Indonesia Prima Property Tbk PT,Indonesia, 0.01 , 0.02 , 0.02 , 0.03 , 0.03 
PANR.JK,Panorama Sentrawisata Tbk PT,Indonesia, 0.42 , 0.76 , 1.11 , 1.30 , 1.08 
PANS.JK,Panin Sekuritas Tbk PT,Indonesia, 0.03 , 0.08 , 0.04 , 0.02 , 0.11 
PBRX.JK,Pan Brothers Tbk PT,Indonesia,, 0.98 , 1.01 , 1.08 , 1.12 
PEGE.JK,Panca Global Kapital Tbk PT,Indonesia,,,,,
PGAS.JK,Perusahaan Gas Negara Tbk PT,Indonesia, 0.35 , 0.44 , 0.62 , 0.90 , 1.05 
PGLI.JK,Pembangunan Graha Lestari Indah Tbk PT,Indonesia, 0.03 , 0.06 , 0.00 , 0.02 , 0.04 
PICO.JK,Pelangi Indah Canindo Tbk PT,Indonesia, 1.58 , 1.83 , 3.41 , 2.78 , 2.23 
PJAA.JK,Pembangunan Jaya Ancol Tbk PT,Indonesia, 0.52 , 0.58 , 0.78 , 1.16 , 0.63 
PKPK.JK,Paragon Karya Perkasa Tbk PT,Indonesia,,,, -   , 0.04 
PLAS.JK,Polaris Investama Tbk PT,Indonesia, 0.10 , 0.15 , 0.33 , 0.46 , 0.38 
PLIN.JK,Plaza Indonesia Realty Tbk PT,Indonesia, 0.05 , 0.05 , 0.05 , 0.05 , 0.05 
PNBN.JK,Bank Pan Indonesia Tbk PT,Indonesia, 0.73 , 0.50 , 0.24 , 0.33 , 0.44 
PNIN.JK,Paninvest Tbk PT,Indonesia, 0.43 , 0.26 , 0.20 , 0.27 , 0.00 
PNLF.JK,Panin Financial Tbk PT,Indonesia, 0.45 , 0.26 , 0.21 , 0.00 , 0.00 
PNSE.JK,Pudjiadi And Sons Tbk PT,Indonesia, 0.27 , 0.36 , 0.51 , 0.50 , 0.37 
POLY.JK,Asia Pacific Fibers Tbk PT,Indonesia,,,,,
POOL.JK,Pool Advista Indonesia Tbk PT,Indonesia, 0.00 , 0.01 , 0.05 , 0.34 , 0.00 
PSAB.JK,J Resources Asia Pasifik Tbk PT,Indonesia, 0.80 , 0.88 , 0.75 , 0.67 , 1.10 
PSDN.JK,Prasidha Aneka Niaga Tbk PT,Indonesia,,, 12.00 , 9.82 , 4.10 
PSKT.JK,Red Planet Indonesia Tbk PT,Indonesia, 0.03 , 0.04 , 0.05 , 0.06 , 0.06 
