Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
BPII.JK,Batavia Prosperindo Internasional Tbk PT,Indonesia, 0.85 , 0.60 , 0.61 , 0.70 , 0.61 
XISR.JK,Premier ETF SRI-KEHATI,Indonesia,,,,,
XIIF.JK,Premier ETF Indonesia Financial,Indonesia,,,,,
SOCI.JK,Soechi Lines Tbk PT,Indonesia, 0.43 , 0.53 , 0.65 , 0.68 , 0.78 
GOLL.JK,Golden Plantation Tbk PT,Indonesia, 3.44 , 1.78 , 1.68 , 1.37 , 1.25 
AGRS.JK,Bank IBK Indonesia Tbk PT,Indonesia, 0.87 , 0.80 , 1.11 , 1.53 , 1.56 
PPRO.JK,PP Properti Tbk PT,Indonesia, 1.32 , 0.91 , 1.05 , 1.17 , 1.45 
IMPC.JK,Impack Pratama Industri Tbk PT,Indonesia, 0.74 , 0.26 , 0.25 , 0.36 , 0.52 
IBFN.JK,Intan Baru Prana Tbk PT,Indonesia,,,,,
BBYB.JK,PT Bank Neo Commerce Tbk,Indonesia, 0.08 , 0.11 , 0.17 , 0.02 , 0.01 
BRIS.JK,Pt Bank Syariah Indonesia Tbk,Indonesia, 0.03 , 0.02 , 0.03 , 0.01 , 0.01 
DMAS.JK,Puradelta Lestari Tbk PT,Indonesia, 0.07 , 0.00 , -   , 0.00 , 0.00 
MDKA.JK,Merdeka Copper Gold Tbk PT,Indonesia, 0.59 , 0.57 , 0.70 , 0.48 , 0.48 
MMLP.JK,Mega Manunggal Property Tbk PT,Indonesia, 0.32 , 0.31 , 0.19 , 0.13 , 0.12 
ATIC.JK,Anabatic Technologies Tbk PT,Indonesia, 2.37 , 5.74 , 8.42 , 21.31 , 6.49 
BOLT.JK,Garuda Metalindo Tbk PT,Indonesia, 0.35 , 0.30 , 0.40 , 0.36 , 0.32 
BIKA.JK,Binakarya Jaya Abadi Tbk PT,Indonesia,,,,, 1.98 
BBHI.JK,Allo Bank Indonesia Tbk PT,Indonesia, 0.04 , 0.09 , 0.01 , 0.74 , 2.06 
VINS.JK,Victoria Insurance Tbk PT,Indonesia, 0.02 , 0.02 , 0.01 , 0.00 , 0.01 
XISC.JK,Premier ETF Indonesia State-Owned Companies,Indonesia,,,,,
MKNT.JK,Mitra Komunikasi Nusantara Tbk PT,Indonesia,, -   ,, 15.83 , 8.47 
MARI.JK,Mahaka Radio Integra Tbk PT,Indonesia,, 5.57 , 2.23 , 0.17 , 0.37 
DPUM.JK,Dua Putra Utama Makmur Tbk PT,Indonesia, 1.54 , 1.39 , 1.05 , 1.11 , 0.99 
IDPR.JK,Indonesia Pondasi Raya Tbk PT,Indonesia, 0.68 , 0.82 , 0.85 , 0.74 , 0.60 
AMIN.JK,Ateliers Mecaniques D'Indonesie Tbk PT,Indonesia, 0.16 , 0.33 , 0.28 , 0.39 , 0.71 
KINO.JK,Kino Indonesia Tbk PT,Indonesia, 1.08 , 1.16 , 1.51 , 0.72 , 0.72 
ARTO.JK,Bank Jago Tbk PT,Indonesia, 0.05 , 0.02 , 0.01 , 0.01 , 0.06 
