Identifier,Company Name_x,Country of Exchange_x,"Debt to Equity Ratio (DER)
In the last 5 FY",Unnamed: 4_x,Unnamed: 5_x,Unnamed: 6_x,Unnamed: 7_x,Company Name_y,Country of Exchange_y,"ESG Score
In the last 5 FY",Unnamed: 4_y,Unnamed: 5_y,Unnamed: 6_y,Unnamed: 7_y,"Revenue - Total
(IDR)
In the last 5 FY",Unnamed: 9_x,Unnamed: 10_x,Unnamed: 11_x,Unnamed: 12_x,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Shares - Outstanding - Total
In the last 5 FY",Unnamed: 9_y,Unnamed: 10_y,Unnamed: 11_y,Unnamed: 12_y,"Total Assets
(IDR)
In the last 5 FY",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Total Liabilities
(IDR)
In the last 5 FY",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,"ROA - %
In the last 5 FY",Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
BDMN.JK,Bank Danamon Indonesia Tbk PT,Indonesia,0.44,0.31,0.21,0.25,0.4,Bank Danamon Indonesia Tbk PT,Indonesia,59.06,56.68,60.48,62.15,60.37,"19,762,061,000,000.00","18,981,277,000,000.00","17,679,859,000,000.00","17,369,126,000,000.00","17,522,822,000,000.00",Bank Danamon Indonesia Tbk PT,Indonesia,"2,540.00","2,780.00","2,730.00","2,350.00","3,140.00","9,773,552,870.00","9,773,552,870.00","9,773,552,870.00","9,773,552,870.00","9,773,552,870.00","242,334,540,000,000.00","221,304,532,000,000.00","197,729,688,000,000.00","192,207,461,000,000.00","200,890,068,000,000.00","190,508,983,000,000.00","171,345,164,000,000.00","150,251,206,000,000.00","147,010,107,000,000.00","157,314,569,000,000.00",1.80%,2.20%,2.30%,1.20%,1.00%
BEBS.JK,Berkah Beton Sadaya Tbk PT,Indonesia,,,0,0.03,0.79,Berkah Beton Sadaya Tbk PT,Indonesia,,,,,,"401,910,300,386.00","647,964,319,677.00","459,401,131,769.00","110,697,288,392.00","14,764,060,765.00",Berkah Beton Sadaya Tbk PT,Indonesia,5,50,740,"1,175.00",,"45,000,000,000.00","45,000,000,000.00","45,000,000,000.00","45,000,000,000.00","45,000,000,000.00","900,366,532,407.00","846,496,722,522.00","728,297,403,603.00","406,998,941,725.00","370,626,936,711.00","84,738,547,755.00","74,702,108,837.00","46,450,401,712.00","27,134,228,108.00","345,405,701,220.00",6.40%,20.00%,24.90%,6.80%,
BEEF.JK,Estika Tata Tiara Tbk PT,Indonesia,2.98,0.01,,,70.81,Estika Tata Tiara Tbk PT,Indonesia,,,,,,"4,930,799,547,693.00","611,771,423,767.00","39,116,821,863.00","142,314,782,595.00","728,034,316,374.00",Estika Tata Tiara Tbk PT,Indonesia,130.97,214.74,57.15,65.81,138.55,"8,120,210,620.82","8,120,240,340.02","2,177,269,621.41","2,176,114,751.18","2,176,114,751.18","2,194,978,339,108.00","690,330,534,107.00","615,017,828,200.00","673,480,916,520.00","677,803,886,415.00","1,932,991,565,333.00","549,791,851,137.00","881,306,165,566.00","847,841,149,220.00","670,554,676,894.00",9.90%,10.60%,-18.90%,-34.30%,-54.80%
BEER.JK,Jobubu Jarum Minahasa PT Tbk,Indonesia,0.06,0.04,0.19,0.08,0.38,Jobubu Jarum Minahasa PT Tbk,Indonesia,,,,,,"45,358,699,693.00","59,758,339,170.00","50,165,846,629.00","34,305,523,914.00","17,649,803,147.00",Jobubu Jarum Minahasa PT Tbk,Indonesia,150,304,,,,"4,000,000,000.00","4,000,000,000.00","3,200,000,000.00","3,200,000,000.00","3,200,000,000.00","253,286,005,277.00","248,128,956,030.00","71,106,829,941.00","48,771,330,753.00","32,249,107,188.00","20,186,525,660.00","14,990,170,046.00","21,939,213,447.00","13,778,941,797.00","22,136,543,591.00",0.90%,13.30%,30.50%,31.60%,7.00%
BEKS.JK,Bank Pembangunan Daerah Banten Tbk PT,Indonesia,0,0.09, -   , -   ,0.32,Bank Pembangunan Daerah Banten Tbk PT,Indonesia,,,,,,"232,514,000,000.00","260,086,000,000.00","201,438,000,000.00","88,392,000,000.00","55,705,000,000.00",Bank Pembangunan Daerah Banten Tbk PT,Indonesia,30,50,50,54,94.08,"51,870,438,266.00","51,870,438,266.00","51,870,438,266.00","51,870,438,266.00","9,541,936,372.54","7,551,115,000,000.00","6,800,821,000,000.00","7,223,058,000,000.00","8,849,611,000,000.00","5,337,281,000,000.00","5,847,418,000,000.00","5,131,756,000,000.00","5,581,282,000,000.00","6,958,464,000,000.00","3,975,700,000,000.00",1.00%,0.70%,-3.50%,-2.90%,-3.90%
BELI.JK,Global Digital Niaga Tbk PT,Indonesia,0.23,0.25,0.05,0.55,1.81,Global Digital Niaga Tbk PT,Indonesia,,,,,,"16,715,576,000,000.00","14,717,896,000,000.00","15,269,078,000,000.00","8,857,845,000,000.00","4,298,850,000,000.00",Global Digital Niaga Tbk PT,Indonesia,450,482,470,,,"131,000,399,381.00","120,766,180,771.00","118,493,291,840.00","118,474,705,740.00","118,474,705,740.00","16,163,344,000,000.00","12,840,932,000,000.00","14,076,794,000,000.00","18,389,454,000,000.00","8,971,577,000,000.00","6,348,380,000,000.00","4,999,164,000,000.00","3,594,978,000,000.00","8,304,395,000,000.00","6,392,543,000,000.00",-17.00%,-27.30%,-32.20%,-28.40%,-40.90%
BELL.JK,Trisula Textile Industries Tbk PT,Indonesia,0.65,0.59,0.59,0.59,0.77,Trisula Textile Industries Tbk PT,Indonesia,,,,,,"584,892,244,800.00","538,593,189,107.00","461,846,092,519.00","428,170,870,794.00","538,299,250,841.00",Trisula Textile Industries Tbk PT,Indonesia,60,79,148,146,159,"7,219,118,200.00","7,229,235,200.00","7,247,970,000.00","7,250,000,000.00","7,250,000,000.00","583,307,445,777.00","530,041,342,956.00","525,780,962,665.00","524,473,606,697.00","554,235,931,111.00","312,054,879,997.00","264,792,788,668.00","264,346,054,879.00","264,701,036,737.00","297,708,577,146.00",3.20%,3.20%,1.60%,1.60%,-2.50%
BESS.JK,Batulicin Nusantara Maritim Tbk PT,Indonesia,0.05,0.16,0.34,0.45,0.85,Batulicin Nusantara Maritim Tbk PT,Indonesia,,,,,,"318,868,834,005.00","363,741,176,938.00","406,469,609,964.00","404,097,297,862.00","295,532,059,811.00",Batulicin Nusantara Maritim Tbk PT,Indonesia,344,212,170,875,240,"3,440,455,528.00","3,440,455,528.00","3,433,061,158.00","3,412,457,110.00","3,402,436,702.00","662,287,328,271.00","689,803,373,589.00","772,666,449,902.00","667,408,015,354.00","620,407,533,334.00","66,436,633,891.00","117,265,164,483.00","280,314,393,366.00","236,216,688,731.00","303,511,534,873.00",4.50%,11.10%,8.20%,17.90%,8.60%
BEST.JK,Bekasi Fajar Industrial Estate Tbk PT,Indonesia,0.29,0.33,0.38,0.38,0.41,Bekasi Fajar Industrial Estate Tbk PT,Indonesia,,,,,,"457,589,770,772.00","544,314,875,513.00","542,834,010,731.00","229,835,755,986.00","242,320,700,845.00",Bekasi Fajar Industrial Estate Tbk PT,Indonesia,101,137,133,112,180,"9,647,311,150.00","9,647,311,150.00","9,647,311,150.00","9,647,311,150.00","9,647,311,150.00","5,827,208,430,098.00","5,940,104,349,120.00","6,078,468,909,026.00","6,046,212,385,412.00","6,282,180,229,732.00","1,401,047,153,697.00","1,572,306,529,495.00","1,749,964,841,755.00","1,752,315,039,995.00","1,925,523,126,081.00",1.20%,0.90%,0.80%,-1.10%,-1.70%
BFIN.JK,BFI Finance Indonesia Tbk PT,Indonesia,1.35,1.41,1.35,0.98,1.18,BFI Finance Indonesia Tbk PT,Indonesia,,,,,,"6,103,740,000,000.00","6,143,368,000,000.00","5,154,394,000,000.00","3,863,273,000,000.00","4,378,257,000,000.00",BFI Finance Indonesia Tbk PT,Indonesia,945,"1,205.00","1,055.00","1,175.00",560,"15,039,383,620.00","15,039,383,620.00","15,039,383,620.00","14,964,383,620.00","14,964,383,620.00","25,119,820,000,000.00","23,991,435,000,000.00","21,929,634,000,000.00","15,635,739,000,000.00","15,200,531,000,000.00","14,938,155,000,000.00","14,491,639,000,000.00","13,173,725,000,000.00","8,205,513,000,000.00","8,594,377,000,000.00",7.80%,8.80%,11.90%,9.20%,5.10%
