Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
ARKO.JK,Arkora Hydro Tbk PT,Indonesia,,,,,,"238,914,421,879.00","182,229,102,022.00","247,884,492,874.00","198,393,420,289.00","52,094,112,325.00"
CHEM.JK,Chemstar Indonesia Tbk PT,Indonesia,,,,,,"174,343,695,864.00","119,655,832,334.00","127,523,508,227.00","89,623,687,082.00","79,335,696,460.00"
SWID.JK,Saraswanti Indoland Development Tbk PT,Indonesia,,,,,,"135,273,809,712.00","142,576,851,520.00","135,474,884,639.00","127,278,539,926.00","153,140,916,852.00"
IBOS.JK,Indo Boga Sukses Tbk PT,Indonesia,,,,,,"45,392,163,399.00","78,038,260,092.00","78,494,559,551.00","62,317,450,705.00","53,309,721,604.00"
MTMH.JK,Murni Sadar Tbk PT,Indonesia,,,,,,"1,067,778,585,039.00","921,913,925,154.00","822,286,304,681.00","983,160,397,726.00","568,776,968,265.00"
TLDN.JK,Teladan Prima Agro Tbk PT,Indonesia,,,,,,"4,211,481,582,000.00","4,007,082,262,000.00","3,613,176,678,000.00","2,938,381,153,000.00","2,715,709,533,000.00"
SICO.JK,Sigma Energy Compressindo Tbk PT,Indonesia,,,,,,"111,074,709,353.00","100,077,030,286.00","78,173,815,627.00","70,089,543,154.00","66,901,678,037.00"
WIRG.JK,Wir Asia Tbk PT,Indonesia,,,,,,"2,602,278,328,490.00","2,491,597,048,794.00","1,694,478,768,356.00","605,519,140,299.00","438,937,879,933.00"
BIKE.JK,Sepeda Bersama Indonesia Tbk PT,Indonesia,,,,,,"386,347,822,590.00","430,280,094,321.00","225,819,967,231.00","178,523,593,335.00","93,586,559,595.00"
STAA.JK,Sumber Tani Agung Resources Tbk PT,Indonesia,,,,,,"6,439,474,000,000.00","5,285,201,000,000.00","6,045,448,000,000.00","5,883,920,000,000.00","4,203,947,000,000.00"
NANO.JK,Nanotech Indonesia Global Tbk PT,Indonesia,,,,,,"114,863,286,774.00","83,820,417,360.00","44,703,763,905.00","26,773,651,713.00","16,039,916,306.00"
BAUT.JK,Mitra Angkasa Sejahtera PT Tbk,Indonesia,,,,,,"152,956,334,212.00","193,286,854,098.00","180,921,964,656.00","120,026,231,380.00","116,280,823,967.00"
ASLC.JK,Autopedia Sukses Lestari Tbk PT,Indonesia,,,,,,"876,552,498,350.00","682,406,332,012.00","479,888,833,536.00","177,555,126,431.00","187,789,183,001.00"
SEMA.JK,Semacom Integrated Tbk PT,Indonesia,,,,,,"108,523,345,492.00","219,557,053,872.00","149,730,058,055.00","198,211,675,935.00","82,895,100,001.00"
ADMR.JK,PT Alamtri Minerals Indonesia Tbk,Indonesia,,,,,,"18,570,799,755,630.00","16,718,383,773,795.00","14,135,230,945,990.00","6,557,433,159,000.00","1,731,187,275,480.00"
DRMA.JK,Dharma Polimetal Tbk PT,Indonesia,,,,,,"5,507,649,677,994.00","5,541,170,674,297.00","3,905,415,064,469.00","2,913,262,716,998.00","1,874,639,936,352.00"
BSML.JK,Bintang Samudera Mandiri Lines Tbk PT,Indonesia,,,,,,"244,611,042,471.00","317,055,920,205.00","346,765,538,330.00","61,158,765,960.00","26,961,554,164.00"
NASI.JK,Wahana Inti Makmur Tbk PT,Indonesia,,,,,,"87,940,752,967.00","79,208,049,259.00","59,036,498,442.00","45,222,329,013.00","40,537,649,962.00"
OBMD.JK,Obm Drilchem Tbk PT,Indonesia,,,,,,"169,641,574,884.00","154,488,567,747.00","103,324,243,970.00","66,883,321,837.00","59,987,664,702.00"
IPPE.JK,Indo Pureco Pratama Tbk PT,Indonesia,,,,,,"35,730,275,000.00","35,020,275,000.00","30,017,394,000.00","15,363,890,000.00","2,535,837,000.00"
RMKE.JK,RMK Energy PT Tbk,Indonesia,,,,,,"2,461,044,384,744.00","2,553,106,269,942.00","2,733,605,088,044.00","1,864,537,484,808.00","635,242,826,351.00"
TAYS.JK,Jaya Swarasa Agung Tbk PT,Indonesia,,,,,,"167,392,380,360.00","255,596,886,518.00","332,022,697,554.00","315,940,242,985.00","308,228,612,302.00"
WGSH.JK,Wira Global Solusi Tbk PT,Indonesia,,,,,,"35,229,995,282.00","33,147,408,581.00","26,693,281,182.00","22,120,710,071.00","1,174,124,548.00"
CMRY.JK,Cisarua Mountain Dairy Tbk PT,Indonesia,33.94,35.34,,,,"9,025,658,000,000.00","7,772,910,000,000.00","6,378,348,000,000.00","4,095,689,000,000.00","1,861,963,000,000.00"
ADCP.JK,Adhi Commuter Properti Tbk PT,Indonesia,,,,,,"300,316,739,862.00","651,958,903,770.00","592,687,713,783.00","563,688,066,425.00","977,221,009,504.00"
DEPO.JK,Caturkarda Depo Bangunan Tbk PT,Indonesia,,,,,,"2,815,856,844,688.00","2,681,254,857,054.00","2,557,433,050,372.00","2,329,490,453,945.00","2,443,371,939,542.00"
BINO.JK,Perma Plasindo Tbk PT,Indonesia,,,,,,"361,514,370,265.00","364,775,355,900.00","312,850,177,400.00","265,767,503,437.00","266,840,885,116.00"
MTEL.JK,PT Dayamitra Telekomunikasi Tbk,Indonesia,38.94,34.15,,,,"9,307,786,000,000.00","8,683,800,000,000.00","7,728,929,831,000.00","6,869,568,721,000.00","6,186,730,239,000.00"
BOBA.JK,Formosa Ingredient Factory Tbk PT,Indonesia,,,,,,"178,263,028,706.00","153,776,646,772.00","121,509,213,864.00","74,192,403,040.00","68,570,265,352.00"
KUAS.JK,Ace Oldfields Tbk,Indonesia,,,,,,"184,692,659,345.00","161,660,709,008.00","153,828,140,683.00","139,351,624,614.00","131,083,725,843.00"
RUNS.JK,Global Sukses Solusi Tbk PT,Indonesia,,,,,,"21,074,099,438.00","27,716,318,804.00","31,286,996,762.00","4,936,138,283.00","22,491,819,297.00"
GTSI.JK,Gts Internasional Tbk PT,Indonesia,,,,,,"517,354,593,730.00","495,105,432,275.00","641,688,838,175.00","438,321,578,250.00","496,102,641,840.00"
RSGK.JK,Kedoya Adyaraya Tbk PT,Indonesia,,,,,,"441,072,473,575.00","373,399,870,743.00","359,156,149,470.00","435,196,072,386.00","294,916,939,542.00"
IDEA.JK,IDeA Indonesia Akademi Tbk PT,Indonesia,,,,,,"22,345,047,806.00","20,280,739,163.00","18,272,772,862.00","15,358,970,719.00","14,570,837,485.00"
MCOL.JK,Prima Andalan Mandiri Tbk PT,Indonesia,,,,,,"12,336,763,157,260.00","14,117,994,525,825.00","16,572,434,881,310.00","9,879,257,741,250.00","4,197,679,143,840.00"
OILS.JK,Indo Oil Perkasa Tbk PT,Indonesia,,,,,,"634,376,822,300.00","600,351,628,985.00","514,201,823,992.00","375,300,332,846.00","293,870,179,399.00"
GPSO.JK,Geoprima Solusi Tbk PT,Indonesia,,,,,,"10,185,970,833.00","16,156,261,887.00","15,209,318,316.00","11,291,724,780.00","19,797,691,979.00"
HAIS.JK,Hasnur Internasional Shipping Tbk PT,Indonesia,,,,,,"1,018,111,562,653.00","941,907,788,741.00","781,001,150,899.00","428,315,589,922.00","310,349,248,348.00"
UVCR.JK,Trimegah Karya Pratama Tbk PT,Indonesia,,,,,,"834,431,373,367.00","799,216,635,841.00","1,222,169,265,859.00","939,209,437,028.00","338,741,071,082.00"
FLMC.JK,Falmaco Nonwoven Industri Tbk PT,Indonesia,,,,,,"35,472,601,407.00","46,081,970,517.00","58,039,050,603.00","49,213,151,806.00","91,169,282,696.00"
NICL.JK,PAM Mineral Tbk PT,Indonesia,,,,,,"1,442,490,354,916.00","1,141,462,895,855.00","1,149,394,604,496.00","419,446,938,854.00","188,021,770,134.00"
BMHS.JK,Bundamedik Tbk PT,Indonesia,,,,,,"1,554,685,010,336.00","1,488,197,483,371.00","1,658,687,911,222.00","1,890,800,275,747.00","1,148,144,381,712.00"
MASB.JK,Bank Multiarta Sentosa PT,Indonesia,,,,,,"845,707,874,663.00","756,002,449,608.00","778,551,809,028.00","629,711,895,926.00","454,900,459,638.00"
IPAC.JK,ERA Graharealty Tbk PT,Indonesia,,,,,,"44,704,983,641.00","28,512,936,081.00","26,000,934,247.00","20,278,257,636.00","16,101,328,277.00"
ARCI.JK,Archi Indonesia Tbk PT,Indonesia,,,,,,"4,627,787,730,930.00","3,843,065,673,360.00","3,369,453,173,680.00","4,929,212,811,750.00","5,521,993,340,760.00"
LABA.JK,Green Power Group Tbk PT,Indonesia,,,,,,"21,620,176,329.00","11,110,830,399.00","15,642,947,889.00","9,460,381,085.00","13,840,169,706.00"
TRUE.JK,Triniti Dinamik Tbk PT,Indonesia,,,,,,"87,150,570,699.00","95,125,448,551.00","210,537,267,933.00","372,941,087,252.00","201,113,764,686.00"
MGLV.JK,Panca Anugrah Wisesa Tbk PT,Indonesia,,,,,,"208,808,125,380.00","211,473,675,042.00","166,545,619,384.00","109,849,125,348.00","61,162,632,114.00"
HOPE.JK,Harapan Duta Pertiwi Tbk PT,Indonesia,,,,,,"19,524,117,496.00","38,903,062,846.00","87,252,106,212.00","50,234,984,440.00","29,688,969,391.00"
LUCY.JK,Lima Dua Lima Tiga PT Tbk,Indonesia,,,,,,"100,679,408,022.00","152,106,240,827.00","66,140,071,647.00","14,441,000,709.00","11,675,311,488.00"
FIMP.JK,Fimperkasa Utama Tbk PT,Indonesia,,,,,,"5,866,000,000.00","7,150,000,000.00","6,545,454,546.00","6,092,711,000.00","8,179,441,984.00"
NPGF.JK,Nusa Palapa Gemilang Tbk PT,Indonesia,,,,,,"168,007,044,537.00","52,286,426,282.00","154,393,059,177.00","352,351,492,551.00","335,061,177,935.00"
LFLO.JK,Imago Mulia Persada Tbk PT,Indonesia,,,,,,"120,118,076,634.00","80,742,024,721.00","64,670,126,720.00","46,863,360,737.00","31,745,766,127.00"
SNLK.JK,Sunter Lakeside Hotel Tbk PT,Indonesia,,,,,,"52,848,303,781.00","47,248,001,713.00","35,992,452,398.00","20,726,401,378.00","18,838,638,878.00"
ZYRX.JK,Zyrexindo Mandiri Buana PT Tbk,Indonesia,,,,,,"364,238,673,755.00","289,633,302,450.00","770,370,214,533.00","650,832,068,089.00","223,464,299,075.00"
BEBS.JK,Berkah Beton Sadaya Tbk PT,Indonesia,,,,,,"401,910,300,386.00","647,964,319,677.00","459,401,131,769.00","110,697,288,392.00","14,764,060,765.00"
UNIQ.JK,Ulima Nitra Tbk PT,Indonesia,,,,,,"670,148,711,332.00","571,540,783,292.00","424,781,798,011.00","318,296,247,836.00","296,492,159,634.00"
EDGE.JK,Indointernet Tbk PT,Indonesia,,,,,,"1,016,826,000,000.00","950,409,000,000.00","822,222,000,000.00","587,766,000,000.00","475,673,416,110.00"
UFOE.JK,Damai Sejahtera Abadi Tbk PT,Indonesia,,,,,,"1,011,703,216,884.00","881,782,218,431.00","770,201,918,908.00","699,754,460,946.00","695,490,107,908.00"
BANK.JK,Bank Aladin Syariah Tbk PT,Indonesia,58.74,42.70,38.88,,,"483,926,000,000.00","250,248,000,000.00","77,560,000,000.00","35,866,000,000.00","31,119,000,000.00"
WMUU.JK,Widodo Makmur Unggas Tbk PT,Indonesia,,,,,,"378,126,622,942.00","336,684,940,840.00","2,457,607,034,533.00","3,090,173,578,824.00","1,149,283,261,706.00"
DGNS.JK,Diagnos Laboratorium Utama PT Tbk,Indonesia,,,,,,"163,072,125,101.00","145,696,015,882.00","192,886,350,752.00","302,181,508,781.00","183,170,680,323.00"
DCII.JK,DCI Indonesia Tbk PT,Indonesia,,,,,,"1,812,446,000,000.00","1,305,846,000,000.00","1,043,955,000,000.00","871,240,000,000.00","759,365,000,000.00"
WIFI.JK,Solusi Sinergi Digital Tbk PT,Indonesia,,,,,,"671,854,001,272.00","439,326,367,240.00","461,252,677,984.00","390,957,116,885.00","47,504,673,355.00"
FAPA.JK,FAP Agri Tbk PT,Indonesia,,,,,,"5,742,983,944,479.00","5,062,243,740,223.00","4,828,633,601,246.00","3,390,496,525,189.00","2,617,336,401,866.00"
PMMP.JK,Panca Mitra Multiperdana Tbk PT,Indonesia,,,,,,"2,892,366,538,160.00","2,967,795,842,715.00","2,504,711,841,000.00","2,394,958,854,600.00","1,980,615,066,800.00"
VICI.JK,Victoria Care Indonesia Tbk PT,Indonesia,,,,,,"1,404,132,465,162.00","1,362,119,699,094.00","1,045,720,530,167.00","1,153,102,243,817.00","1,046,188,914,330.00"
ATAP.JK,Trimitra Prawara Goldland Tbk PT,Indonesia,,,,,,"14,195,032,272.00","23,653,459,265.00","42,519,109,151.00","55,019,322,393.00","40,309,472,225.00"
PTDU.JK,Djasa Ubersakti Tbk PT,Indonesia,,,,,,"43,842,225,806.00","118,597,296,098.00","154,856,880,912.00","244,241,654,678.00","48,709,779,263.00"
PLAN.JK,Planet Properindo Jaya Tbk PT,Indonesia,,,,,,"14,534,752,332.00","12,368,445,625.00","10,893,008,748.00","6,590,750,543.00","3,788,155,945.00"
ROCK.JK,Rockfields Property Indonesia PT,Indonesia,,,,,,"119,352,824,644.00","106,928,671,183.00","97,965,210,524.00","83,747,116,116.00","96,117,574,668.00"
HOMI.JK,Grand House Mulia Tbk PT,Indonesia,,,,,,"34,405,367,859.00","63,279,657,791.00","74,323,254,468.00","62,895,985,398.00","28,839,344,166.00"
KMDS.JK,Kurniamitra Duta Sentosa Tbk PT,Indonesia,,,,,,"351,937,505,323.00","338,297,293,202.00","317,610,018,585.00","234,803,780,392.00","132,093,811,543.00"
SOHO.JK,Soho Global Health Tbk PT,Indonesia,,,,,,"10,057,938,000,000.00","8,197,755,000,000.00","7,290,121,000,000.00","7,076,164,000,000.00","6,163,939,000,000.00"
SCNP.JK,Selaras Citra Nusantara Perkasa Tbk PT,Indonesia,,,,,,"225,220,200,420.00","703,522,640,947.00","475,948,102,992.00","522,928,604,998.00","246,089,816,344.00"
BBSI.JK,Krom Bank Indonesia Tbk PT,Indonesia,,,,,,"975,602,415,629.00","430,554,508,200.00","141,618,420,741.00","106,376,336,452.00","65,638,478,768.00"
PURI.JK,Puri Global Sukses Tbk PT,Indonesia,,,,,,"15,123,139,103.00","65,608,463,022.00","32,201,432,195.00","63,302,355,439.00","75,820,719,507.00"
PNGO.JK,Pinago Utama TBK PT,Indonesia,,,,,,"2,042,868,724,833.00","2,037,284,494,747.00","2,034,457,645,981.00","2,088,922,704,953.00","1,511,658,469,969.00"
TRJA.JK,Transkon Jaya Tbk PT,Indonesia,,,,,,"595,273,000,000.00","604,414,000,000.00","483,001,336,110.00","402,584,918,991.00","402,461,051,428.00"
SGER.JK,Sumber Global Energy Tbk PT,Indonesia,,,,,,"14,762,475,115,697.00","12,312,861,734,739.00","10,448,875,185,271.00","3,924,499,699,655.00","2,035,076,870,827.00"
TOYS.JK,Sunindo Adipersada Tbk PT,Indonesia,,,,,,"60,435,433,392.00","138,896,182,203.00","124,609,858,073.00","146,671,339,705.00","171,557,472,303.00"
PPGL.JK,Prima Globalindo Logistik Tbk PT,Indonesia,,,,,,"211,734,531,294.00","184,209,897,749.00","291,113,647,765.00","258,805,384,213.00","136,611,673,628.00"
PGUN.JK,Pradiksi Gunatama Tbk PT,Indonesia,,,,,,"738,565,449,724.00","868,456,776,538.00","1,007,305,060,864.00","786,686,008,070.00","475,252,008,248.00"
UANG.JK,Pakuan Tbk PT,Indonesia,,,,,,"317,941,000,000.00","173,771,000,000.00",0.00,"7,460,135,157.00","11,153,312,740.00"
SOFA.JK,Boston Furniture Industries Tbk PT,Indonesia,,,,,,"50,252,347,233.00","46,642,931,257.00","47,025,953,448.00","37,446,026,309.00","23,985,876,762.00"
EPAC.JK,Megalestari Epack Sentosaraya Tbk PT,Indonesia,,,,,,"143,125,073,127.00","111,286,897,946.00","101,837,607,298.00","142,114,567,614.00","159,385,746,497.00"
TECH.JK,IndoSterling Technomedia Tbk PT,Indonesia,,,,,,"19,160,703,697.00","23,583,268,237.00","21,552,522,737.00","19,652,388,299.00","11,422,980,300.00"
CASH.JK,Cashlez Worldwide Indonesia Tbk PT,Indonesia,,,,,,"138,343,800,644.00","194,879,027,696.00","128,979,803,706.00","194,050,514,379.00","84,320,417,982.00"
CBMF.JK,Cahaya Bintang Medan Tbk PT,Indonesia,,,,,,"23,624,767,020.00","27,224,582,215.00","79,469,675,234.00","153,337,495,036.00","75,031,480,538.00"
BHAT.JK,Bhakti Multi Artha Tbk PT,Indonesia,,,,,,"331,652,155,988.00","212,055,025,014.00","176,627,212,392.00","119,310,017,896.00","94,817,427,201.00"
CSMI.JK,Cipta Selera Murni Tbk PT,Indonesia,,,,,,"1,919,278,674.00","4,077,349,014.00","51,673,656,616.00","61,504,899,366.00","77,316,577,237.00"
RONY.JK,Aesler Grup Internasional Tbk PT,Indonesia,,,,,,"2,600,628,521.00","4,884,035,625.00","7,828,382,847.00","8,622,135,706.00","4,221,041,136.00"
SBAT.JK,Sejahtera Bintang Abadi Textile Tbk PT,Indonesia,,,,,,"111,989,805,385.00","166,888,495,594.00","177,551,568,583.00","315,790,682,205.00","337,740,700,872.00"
BBSS.JK,Bumi Benowo Sukses Sejahtera Tbk PT,Indonesia,,,,,,"493,333,331.00","450,555,555.00","482,000,000.00","8,974,592,074.00","3,432,000,000.00"
KBAG.JK,Karya Bersama Anugerah Tbk PT,Indonesia,,,,,,"14,711,285,763.00","47,216,191,935.00","77,358,766,402.00","39,083,155,931.00","33,167,727,826.00"
SAMF.JK,Saraswanti Anugerah Makmur PT,Indonesia,,,,,,"4,797,559,081,178.00","4,463,507,984,781.00","3,689,403,867,254.00","1,852,362,345,299.00","1,409,226,181,520.00"
CARE.JK,Metro Healthcare Indonesia Tbk PT,Indonesia,,,,,,"319,022,410,802.00","242,680,799,183.00","260,426,191,178.00","290,934,356,126.00","216,296,095,571.00"
BESS.JK,Batulicin Nusantara Maritim Tbk PT,Indonesia,,,,,,"318,868,834,005.00","363,741,176,938.00","406,469,609,964.00","404,097,297,862.00","295,532,059,811.00"
ESTA.JK,Esta Multi Usaha Tbk PT,Indonesia,,,,,,"51,129,228,058.00","50,503,046,594.00","43,520,658,722.00","10,094,053,222.00","8,801,596,151.00"
ASPI.JK,Andalan Sakti Primaindo Tbk PT,Indonesia,,,,,,"39,353,986,285.00","8,395,978,746.00","9,813,812,959.00","6,107,732,728.00","1,942,555,361.00"
AYLS.JK,Agro Yasa Lestari Tbk PT,Indonesia,,,,,,"1,023,243,242.00","3,739,341,400.00","8,987,252,297.00","1,992,589,556.00","9,966,360,080.00"
DADA.JK,Diamond Citra Propertindo Tbk PT,Indonesia,,,,,,"23,589,866,267.00","30,007,170,203.00","80,469,806,499.00","92,792,423,483.00","112,482,957,188.00"
IKAN.JK,Era Mandiri Cemerlang Tbk PT,Indonesia,,,,,,"116,759,239,114.00","143,806,146,494.00","113,336,252,373.00","111,367,220,162.00","84,646,710,437.00"
PTPW.JK,Pratama Widya Tbk PT,Indonesia,,,,,,"371,976,241,228.00","395,518,504,651.00","338,340,862,503.00","301,396,833,220.00","187,886,276,093.00"
TAMA.JK,Lancartama Sejati Tbk PT,Indonesia,,,,,,"23,174,307,675.00","28,372,087,077.00","14,768,916,731.00","50,363,743,196.00","25,376,582,800.00"
PURA.JK,Putra Rajawali Kencana Tbk,Indonesia,,,,,,"280,301,443,290.00","193,097,121,715.00","119,023,798,846.00","118,252,970,540.00","95,955,756,721.00"
DMND.JK,DIAMOND FOOD INDONESIA Tbk PT,Indonesia,,,,,,"9,811,549,000,000.00","9,239,926,000,000.00","8,461,768,000,000.00","6,973,718,000,000.00","6,110,155,000,000.00"
TRIN.JK,Perintis Triniti Properti Tbk PT,Indonesia,,,,,,"216,640,836,000.00","82,317,521,000.00","275,599,180,000.00","2,821,724,000.00","3,730,862,000.00"
INDO.JK,Royalindo Investa Wijaya PT,Indonesia,,,,,,"26,930,021,106.00","17,560,629,819.00","10,289,513,458.00","7,514,217,633.00","3,084,274,688.00"
PGJO.JK,Tourindo Guide Indonesia PT Tbk,Indonesia,,,,,,"1,935,948,217.00","9,953,030,079.00","2,667,334,351.00","896,928,100.00","103,517,965.00"
AMAR.JK,Bank Amar Indonesia PT,Indonesia,25.74,29.36,27.82,,,"1,671,678,000,000.00","1,317,448,000,000.00","922,105,412,000.00","684,470,019,000.00","636,419,819,000.00"
CSRA.JK,Cisadane Sawit Raya PT,Indonesia,,,,,,"1,066,759,270,113.00","875,512,425,564.00","970,572,083,452.00","895,867,536,708.00","607,253,410,714.00"
GLVA.JK,Galva Technologies Tbk PT,Indonesia,,,,,,"2,307,262,000,000.00","2,061,598,000,000.00","2,326,621,000,000.00","1,749,414,000,000.00","1,934,973,000,000.00"
PMJS.JK,Putra Mandiri Jembar Tbk PT,Indonesia,,,,,,"9,646,022,913,989.00","10,494,240,419,892.00","11,509,464,649,302.00","9,778,583,412,146.00","6,076,430,855,130.00"
IFII.JK,Indonesia Fibreboard Industry Tbk,Indonesia,,,,,,"1,243,651,017,803.00","986,989,741,727.00","867,146,336,664.00","714,581,513,385.00","682,021,210,514.00"
REAL.JK,Repower Asia Indonesia Tbk PT,Indonesia,,,,,,"115,892,295,549.00","8,367,950,449.00","6,034,680,552.00","23,946,969,756.00","12,688,128,000.00"
IFSH.JK,Ifishdeco Tbk PT,Indonesia,,,,,,"972,709,803,235.00","1,433,217,403,117.00","939,031,325,558.00","906,259,459,175.00","396,573,481,850.00"
AGAR.JK,Asia Sejahtera Mina Tbk PT,Indonesia,,,,,,"336,667,143,228.00","437,698,250,180.00","540,850,470,104.00","392,655,804,739.00","329,428,302,218.00"
PSGO.JK,Palma Serasih Tbk PT,Indonesia,,,,,,"2,127,994,680,911.00","2,049,487,832,334.00","1,972,824,875,264.00","1,766,254,650,794.00","930,503,571,803.00"
KEJU.JK,Mulia Boga Raya PT,Indonesia,,,,,,"1,264,335,961,440.00","1,019,669,802,028.00","1,044,368,857,579.00","1,042,307,144,847.00","961,217,831,486.00"
TEBE.JK,Dana Brata Luhur Tbk PT,Indonesia,,,,,,"566,674,463,000.00","632,232,808,000.00","781,793,751,000.00","448,008,428,000.00","197,952,877,000.00"
ESIP.JK,Sinergi Inti Plastindo Tbk PT,Indonesia,,,,,,"61,150,779,176.00","62,082,369,696.00","65,153,137,841.00","53,930,872,482.00","47,405,156,343.00"
WOWS.JK,Ginting Jaya Energi Tbk PT,Indonesia,,,,,,"181,662,079,147.00","122,458,371,892.00","98,694,773,171.00","95,542,840,629.00","112,449,256,639.00"
SINI.JK,Singaraja Putra Tbk PT,Indonesia,,,,,,"435,143,362,568.00","297,411,483,210.00","413,645,245,865.00","380,340,837,138.00","274,365,507,443.00"
SLIS.JK,Gaya Abadi Sempurna Tbk PT,Indonesia,,,,,,"501,286,759,369.00","452,366,964,787.00","487,151,646,729.00","448,363,550,268.00","411,798,065,773.00"
NZIA.JK,Nusantara Almazia Tbk PT,Indonesia,,,,,,"63,656,114,694.00","45,096,150,000.00","84,683,945,000.00","100,416,453,220.00","80,627,075,000.00"
OPMS.JK,Optima Prima Metal Sinergi Tbk PT,Indonesia,,,,,,"40,784,168,728.00","9,117,164,461.00","22,510,395,004.00","41,184,564,806.00","34,773,247,358.00"
GGRP.JK,Gunung Raja Paksi Tbk PT,Indonesia,,,,,,"5,660,451,155,340.00","7,141,327,713,865.00","14,716,663,124,185.00","10,285,744,320,750.00","8,606,607,272,640.00"
TFAS.JK,Telefast Indonesia Tbk PT,Indonesia,,,,,,"401,945,207,449.00","633,417,100,629.00","765,515,933,170.00","644,576,393,167.00","568,485,276,455.00"
BAPI.JK,Bhakti Agung Propertindo Tbk PT,Indonesia,,,,,,"1,984,000,000.00","2,196,000,000.00","11,033,432,727.00","4,992,804,633.00","13,272,828,632.00"
KEEN.JK,Kencana Energi Lestari Tbk PT,Indonesia,,,,,,"609,263,650,380.00","739,264,528,495.00","651,127,205,135.00","520,836,174,750.00","356,409,485,640.00"
INOV.JK,Inocycle Technology Group Tbk PT,Indonesia,,,,,,"629,023,011,000.00","600,210,346,000.00","691,532,368,000.00","633,300,205,000.00","518,652,053,000.00"
LIFE.JK,MSIG Life Insurance Indonesia PT,Indonesia,35.21,34.62,16.39,,,"4,015,602,000,000.00","3,301,629,000,000.00","3,486,388,000,000.00","4,054,195,000,000.00","4,412,933,000,000.00"
HDIT.JK,Hensel Davest Indonesia Tbk PT,Indonesia,,,,,,"32,132,752,638.00","2,154,529,401,286.00","4,116,137,837,804.00","3,489,267,765,180.00","3,156,659,950,866.00"
KOTA.JK,DMS Propertindo Tbk PT,Indonesia,,,,,,"29,377,755,960.00","27,879,084,803.00","20,948,231,306.00","12,057,796,555.00","6,712,313,293.00"
EAST.JK,Eastparc Hotel Tbk PT,Indonesia,,,,,,"102,928,711,695.00","106,354,483,808.00","86,440,947,394.00","51,021,355,702.00","37,074,443,482.00"
ENVY.JK,Envy Technologies Indonesia Tbk PT,Indonesia,,,,,,"5,537,880,001.00","2,493,050,451.00","1,944,900,000.00","272,500,002.00","674,900,203.00"
FUJI.JK,Fuji Finance Indonesia Tbk PT,Indonesia,,,,,,"14,530,779,524.00","9,549,440,635.00","19,136,056,461.00","15,671,135,734.00","10,272,811,226.00"
SMKL.JK,Satyamitra Kemas Lestari Tbk PT,Indonesia,,,,,,"1,776,163,283,820.00","1,739,300,469,186.00","2,223,928,484,187.00","2,119,868,420,179.00","1,697,782,916,089.00"
IPTV.JK,MNC Vision Networks Tbk PT,Indonesia,,,,,,"1,677,699,000,000.00","2,079,476,000,000.00","2,678,799,000,000.00","3,741,668,000,000.00","3,685,291,000,000.00"
BLUE.JK,Berkah Prima Perkasa Tbk PT,Indonesia,,,,,,"160,218,189,058.00","143,083,261,635.00","131,320,519,406.00","109,018,092,634.00","74,179,874,751.00"
PAMG.JK,Bima Sakti Pertiwi Tbk PT,Indonesia,,,,,,"52,440,667,650.00","51,476,967,511.00","54,825,067,000.00","46,931,553,767.00","48,438,205,011.00"
KAYU.JK,Darmi Bersaudara Tbk PT,Indonesia,,,,,,"6,736,381,978.00","22,711,399,943.00","5,061,674,079.00","74,089,340,627.00","43,739,894,072.00"
ITIC.JK,Indonesian Tobacco Tbk PT,Indonesia,,,,,,"324,484,368,661.00","303,928,233,031.00","279,179,553,590.00","238,398,863,725.00","224,296,360,636.00"
KJEN.JK,Krida Jaringan Nusantara Tbk PT,Indonesia,,,,,,"6,317,757,841.00","7,784,775,847.00","8,432,422,626.00","8,447,187,923.00","13,158,116,600.00"
POLU.JK,Golden Flower Tbk PT,Indonesia,,,,,,"135,521,321,941.00","87,603,006,966.00","126,547,485,872.00","104,782,481,860.00","196,517,768,308.00"
SFAN.JK,Surya Fajar Capital Tbk PT,Indonesia,,,,,,"-6,997,691,453.00","14,233,900,850.00","22,669,192,620.00","22,495,393,460.00","21,272,745,137.00"
CCSI.JK,Communication Cable Systems Indonesia Tbk PT,Indonesia,,,,,,"291,364,724,000.00","349,501,044,000.00","615,332,096,000.00","422,882,541,000.00","282,013,025,000.00"
BOLA.JK,Bali Bintang Sejahtera Tbk PT,Indonesia,,,,,,"335,004,992,448.00","363,338,259,016.00","353,135,773,784.00","191,658,399,174.00","76,418,524,906.00"
JAST.JK,Jasnita Telekomindo Tbk PT,Indonesia,,,,,,"143,769,288,120.00","131,011,518,533.00","127,228,126,640.00","68,051,487,879.00","61,431,175,244.00"
POSA.JK,Bliss Properti Indonesia Tbk PT,Indonesia,,,,,,"58,900,585,637.00","57,342,777,981.00","59,529,722,921.00","53,791,410,731.00","59,434,165,247.00"
HRME.JK,Menteng Heritage Realty Tbk PT,Indonesia,,,,,,"117,388,396,257.00","109,799,074,008.00","86,204,240,933.00","66,395,265,475.00","47,366,679,380.00"
