Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
BBRM.JK,Pelayaran Nasional Bina Buana Raya Tbk PT,Indonesia,,,,,,"216,098,579,260.00","162,348,819,225.00","145,232,719,060.00","107,614,161,750.00","159,331,774,680.00"
HOTL.JK,Saraswati Griya Lestari Tbk PT,Indonesia,,,,,,"2,982,198,590.00","2,109,713,641.00","62,865,727,528.00","58,353,052,116.00","124,404,122,319.00"
MAGP.JK,Multi Agro Gemilang Plantation Tbk PT,Indonesia,,,,,,"163,228,243,261.00","164,359,744,495.00","168,136,606,695.00","175,631,681,999.00","296,912,689,010.00"
TPMA.JK,Trans Power Marine Tbk PT,Indonesia,,,,,,"1,915,932,856,090.00","1,712,353,705,240.00","977,506,904,000.00","598,730,650,500.00","558,255,503,520.00"
ISSP.JK,Steel Pipe Industry of Indonesia Tbk PT,Indonesia,,,,,,"6,118,364,000,000.00","6,455,329,000,000.00","6,255,945,000,000.00","5,378,808,000,000.00","3,775,530,000,000.00"
DYAN.JK,Dyandra Media International Tbk PT,Indonesia,,,,,,"1,458,220,326,060.00","1,329,121,702,300.00","1,210,481,160,296.00","563,839,174,231.00","284,181,538,459.00"
XIIC.JK,Premier ETF Indonesia Consumer,Indonesia,,,,,,,,,,
XIJI.JK,Premier ETF Syariah JII,Indonesia,,,,,,,,,,
ANJT.JK,Austindo Nusantara Jaya Tbk PT,Indonesia,,,,,,"3,810,344,661,400.00","3,657,374,370,125.00","4,189,580,012,365.00","3,810,220,902,750.00","2,303,959,001,760.00"
NOBU.JK,Bank Nationalnobu Tbk PT,Indonesia,,,,,,"1,265,251,000,000.00","864,893,000,000.00","712,307,000,000.00","572,488,000,000.00","511,138,000,000.00"
MPMX.JK,Mitra Pinasthika Mustika Tbk PT,Indonesia,,,,,,"15,776,406,000,000.00","13,859,071,000,000.00","12,742,854,000,000.00","11,913,408,000,000.00","11,181,671,000,000.00"
APEX.JK,Apexindo Pratama Duta Tbk PT,Indonesia,,,,,,"1,360,931,395,240.00","958,722,578,140.00","1,260,403,440,615.00","928,467,770,250.00","768,935,784,240.00"
